schema_version	candidate_id	gene	priority_tier	mapping_status	tier1_grade	magma_tested_traits	magma_significant_traits	magma_min_p	qtl_routes	qtl_signal_routes	qtl_exact_routes	qtl_scope_status	valid_coloc_routes	final_gene_level_grade	gene_level_support_basis	interpretation_note
phase19b_sex_apoe_kda_combo_v2_final_evidence	GS19B0028	BRK1	P3	mapped_by_symbol	none_found	4	0	0.17819	0	0	0	not_run_preregistered_P3_stop	0	none_found	none_found	QTL signal alone is annotation; no route had the complete compatible model inputs required for H0-H4 colocalization
phase19b_sex_apoe_kda_combo_v2_final_evidence	GS19B0029	BTF3	P2	mapped_by_symbol	none_found	4	0	0.20015	6	0	3	assessed_P1_P2	0	none_found	none_found	QTL signal alone is annotation; no route had the complete compatible model inputs required for H0-H4 colocalization
phase19b_sex_apoe_kda_combo_v2_final_evidence	GS19B0030	C11orf68	P3	mapped_by_symbol	none_found	4	0	0.21226	0	0	0	not_run_preregistered_P3_stop	0	none_found	none_found	QTL signal alone is annotation; no route had the complete compatible model inputs required for H0-H4 colocalization
phase19b_sex_apoe_kda_combo_v2_final_evidence	GS19B0031	CADM1	P2	mapped_by_symbol	none_found	4	0	0.010263	2	1	1	assessed_P1_P2	0	none_found	none_found	QTL signal alone is annotation; no route had the complete compatible model inputs required for H0-H4 colocalization
phase19b_sex_apoe_kda_combo_v2_final_evidence	GS19B0032	CAMK2N2	P2	mapped_by_symbol	none_found	4	0	0.00025297	2	1	1	assessed_P1_P2	0	none_found	none_found	QTL signal alone is annotation; no route had the complete compatible model inputs required for H0-H4 colocalization
phase19b_sex_apoe_kda_combo_v2_final_evidence	GS19B0033	CARNS1	P3	mapped_by_symbol	none_found	4	0	0.32956	0	0	0	not_run_preregistered_P3_stop	0	none_found	none_found	QTL signal alone is annotation; no route had the complete compatible model inputs required for H0-H4 colocalization
phase19b_sex_apoe_kda_combo_v2_final_evidence	GS19B0034	CCDC85B	P2	mapped_by_symbol	none_found	4	0	0.16703	4	0	2	assessed_P1_P2	0	none_found	none_found	QTL signal alone is annotation; no route had the complete compatible model inputs required for H0-H4 colocalization
phase19b_sex_apoe_kda_combo_v2_final_evidence	GS19B0035	CD81	P3	mapped_by_symbol	none_found	4	0	0.44382	0	0	0	not_run_preregistered_P3_stop	0	none_found	none_found	QTL signal alone is annotation; no route had the complete compatible model inputs required for H0-H4 colocalization
phase19b_sex_apoe_kda_combo_v2_final_evidence	GS19B0036	CEBPD	P2	mapped_by_symbol	none_found	4	0	0.070295	2	0	1	assessed_P1_P2	0	none_found	none_found	QTL signal alone is annotation; no route had the complete compatible model inputs required for H0-H4 colocalization
phase19b_sex_apoe_kda_combo_v2_final_evidence	GS19B0037	CEP57	P3	mapped_by_symbol	none_found	4	0	0.31577	0	0	0	not_run_preregistered_P3_stop	0	none_found	none_found	QTL signal alone is annotation; no route had the complete compatible model inputs required for H0-H4 colocalization
phase19b_sex_apoe_kda_combo_v2_final_evidence	GS19B0038	CFL1	P3	mapped_by_symbol	weak	4	0	0.0042273	0	0	0	not_run_preregistered_P3_stop	0	weak	tier1_public_summary	QTL signal alone is annotation; no route had the complete compatible model inputs required for H0-H4 colocalization
phase19b_sex_apoe_kda_combo_v2_final_evidence	GS19B0039	CHGA	P3	mapped_by_symbol	none_found	4	0	0.022264	0	0	0	not_run_preregistered_P3_stop	0	none_found	none_found	QTL signal alone is annotation; no route had the complete compatible model inputs required for H0-H4 colocalization
phase19b_sex_apoe_kda_combo_v2_final_evidence	GS19B0040	CHID1	P3	mapped_by_symbol	none_found	4	0	0.017604	0	0	0	not_run_preregistered_P3_stop	0	none_found	none_found	QTL signal alone is annotation; no route had the complete compatible model inputs required for H0-H4 colocalization
phase19b_sex_apoe_kda_combo_v2_final_evidence	GS19B0041	CHORDC1	P2	mapped_by_symbol	none_found	4	0	0.38586	4	4	2	assessed_P1_P2	0	none_found	none_found	QTL signal alone is annotation; no route had the complete compatible model inputs required for H0-H4 colocalization
phase19b_sex_apoe_kda_combo_v2_final_evidence	GS19B0042	CLVS1	P3	mapped_by_symbol	none_found	4	0	0.021243	0	0	0	not_run_preregistered_P3_stop	0	none_found	none_found	QTL signal alone is annotation; no route had the complete compatible model inputs required for H0-H4 colocalization
phase19b_sex_apoe_kda_combo_v2_final_evidence	GS19B0043	CORO6	P3	mapped_by_symbol	none_found	4	0	0.0057946	0	0	0	not_run_preregistered_P3_stop	0	none_found	none_found	QTL signal alone is annotation; no route had the complete compatible model inputs required for H0-H4 colocalization
phase19b_sex_apoe_kda_combo_v2_final_evidence	GS19B0044	CRYL1	P3	mapped_by_symbol	none_found	4	0	0.0027479	0	0	0	not_run_preregistered_P3_stop	0	none_found	none_found	QTL signal alone is annotation; no route had the complete compatible model inputs required for H0-H4 colocalization
phase19b_sex_apoe_kda_combo_v2_final_evidence	GS19B0045	CTNND2	P3	mapped_by_symbol	none_found	4	0	0.033378	0	0	0	not_run_preregistered_P3_stop	0	none_found	none_found	QTL signal alone is annotation; no route had the complete compatible model inputs required for H0-H4 colocalization
phase19b_sex_apoe_kda_combo_v2_final_evidence	GS19B0046	CUTA	P2	mapped_by_symbol	none_found	4	0	0.11566	4	4	0	assessed_P1_P2	0	none_found	none_found	QTL signal alone is annotation; no route had the complete compatible model inputs required for H0-H4 colocalization
phase19b_sex_apoe_kda_combo_v2_final_evidence	GS19B0047	DEF8	P2	mapped_by_symbol	none_found	4	0	0.04763	2	1	1	assessed_P1_P2	0	none_found	none_found	QTL signal alone is annotation; no route had the complete compatible model inputs required for H0-H4 colocalization
phase19b_sex_apoe_kda_combo_v2_final_evidence	GS19B0048	DNAJB1	P3	mapped_by_symbol	none_found	4	0	0.36881	0	0	0	not_run_preregistered_P3_stop	0	none_found	none_found	QTL signal alone is annotation; no route had the complete compatible model inputs required for H0-H4 colocalization
phase19b_sex_apoe_kda_combo_v2_final_evidence	GS19B0049	DNMT3A	P3	mapped_by_symbol	none_found	4	0	0.22435	0	0	0	not_run_preregistered_P3_stop	0	none_found	none_found	QTL signal alone is annotation; no route had the complete compatible model inputs required for H0-H4 colocalization
phase19b_sex_apoe_kda_combo_v2_final_evidence	GS19B0050	DUBR	P3	mapped_by_symbol	none_found	0	0	NA	0	0	0	not_run_preregistered_P3_stop	0	none_found	none_found	QTL signal alone is annotation; no route had the complete compatible model inputs required for H0-H4 colocalization
phase19b_sex_apoe_kda_combo_v2_final_evidence	GS19B0051	DYNLL1	P2	mapped_by_symbol	none_found	4	0	0.00015792	6	6	0	assessed_P1_P2	0	none_found	none_found	QTL signal alone is annotation; no route had the complete compatible model inputs required for H0-H4 colocalization
phase19b_sex_apoe_kda_combo_v2_final_evidence	GS19B0052	DYNLT1	P2	mapped_by_symbol	none_found	4	0	0.29503	6	4	2	assessed_P1_P2	0	none_found	none_found	QTL signal alone is annotation; no route had the complete compatible model inputs required for H0-H4 colocalization
phase19b_sex_apoe_kda_combo_v2_final_evidence	GS19B0053	DZIP1	P3	mapped_by_symbol	none_found	4	0	0.011138	0	0	0	not_run_preregistered_P3_stop	0	none_found	none_found	QTL signal alone is annotation; no route had the complete compatible model inputs required for H0-H4 colocalization
phase19b_sex_apoe_kda_combo_v2_final_evidence	GS19B0054	EDF1	P2	mapped_by_symbol	none_found	4	0	0.044022	4	2	2	assessed_P1_P2	0	none_found	none_found	QTL signal alone is annotation; no route had the complete compatible model inputs required for H0-H4 colocalization
phase19b_sex_apoe_kda_combo_v2_final_evidence	GS19B0055	EIF1	P2	mapped_by_symbol	none_found	4	0	0.41219	2	1	1	assessed_P1_P2	0	none_found	none_found	QTL signal alone is annotation; no route had the complete compatible model inputs required for H0-H4 colocalization
phase19b_sex_apoe_kda_combo_v2_final_evidence	GS19B0056	EIF1B	P3	mapped_by_symbol	none_found	4	0	0.28687	0	0	0	not_run_preregistered_P3_stop	0	none_found	none_found	QTL signal alone is annotation; no route had the complete compatible model inputs required for H0-H4 colocalization
phase19b_sex_apoe_kda_combo_v2_final_evidence	GS19B0057	EIF3K	P3	mapped_by_symbol	none_found	4	0	0.0018419	0	0	0	not_run_preregistered_P3_stop	0	none_found	none_found	QTL signal alone is annotation; no route had the complete compatible model inputs required for H0-H4 colocalization
phase19b_sex_apoe_kda_combo_v2_final_evidence	GS19B0058	EIF4A2	P2	mapped_by_symbol	none_found	4	0	0.25916	2	2	1	assessed_P1_P2	0	none_found	none_found	QTL signal alone is annotation; no route had the complete compatible model inputs required for H0-H4 colocalization
phase19b_sex_apoe_kda_combo_v2_final_evidence	GS19B0059	ELOB	P3	mapped_by_symbol	none_found	4	0	0.24771	0	0	0	not_run_preregistered_P3_stop	0	none_found	none_found	QTL signal alone is annotation; no route had the complete compatible model inputs required for H0-H4 colocalization
phase19b_sex_apoe_kda_combo_v2_final_evidence	GS19B0060	EPHA7	P3	mapped_by_symbol	none_found	4	0	0.17868	0	0	0	not_run_preregistered_P3_stop	0	none_found	none_found	QTL signal alone is annotation; no route had the complete compatible model inputs required for H0-H4 colocalization
phase19b_sex_apoe_kda_combo_v2_final_evidence	GS19B0061	ERBIN	P3	mapped_by_symbol	none_found	4	0	0.041227	0	0	0	not_run_preregistered_P3_stop	0	none_found	none_found	QTL signal alone is annotation; no route had the complete compatible model inputs required for H0-H4 colocalization
phase19b_sex_apoe_kda_combo_v2_final_evidence	GS19B0062	ERP29	P3	mapped_by_symbol	none_found	4	0	0.055877	0	0	0	not_run_preregistered_P3_stop	0	none_found	none_found	QTL signal alone is annotation; no route had the complete compatible model inputs required for H0-H4 colocalization
phase19b_sex_apoe_kda_combo_v2_final_evidence	GS19B0063	EVA1C	P2	mapped_by_symbol	none_found	4	0	0.36496	2	2	1	assessed_P1_P2	0	none_found	none_found	QTL signal alone is annotation; no route had the complete compatible model inputs required for H0-H4 colocalization
phase19b_sex_apoe_kda_combo_v2_final_evidence	GS19B0064	EXOC7	P3	mapped_by_symbol	none_found	4	0	0.060318	0	0	0	not_run_preregistered_P3_stop	0	none_found	none_found	QTL signal alone is annotation; no route had the complete compatible model inputs required for H0-H4 colocalization
phase19b_sex_apoe_kda_combo_v2_final_evidence	GS19B0065	FAU	P2	mapped_by_symbol	none_found	4	0	0.02675	4	0	2	assessed_P1_P2	0	none_found	none_found	QTL signal alone is annotation; no route had the complete compatible model inputs required for H0-H4 colocalization
phase19b_sex_apoe_kda_combo_v2_final_evidence	GS19B0066	FBF1	P3	mapped_by_symbol	none_found	4	0	0.35358	0	0	0	not_run_preregistered_P3_stop	0	none_found	none_found	QTL signal alone is annotation; no route had the complete compatible model inputs required for H0-H4 colocalization
phase19b_sex_apoe_kda_combo_v2_final_evidence	GS19B0067	FBXW4	P3	mapped_by_symbol	weak	4	0	0.06085	0	0	0	not_run_preregistered_P3_stop	0	weak	tier1_public_summary	QTL signal alone is annotation; no route had the complete compatible model inputs required for H0-H4 colocalization
phase19b_sex_apoe_kda_combo_v2_final_evidence	GS19B0068	FGFR2	P3	mapped_by_symbol	none_found	4	0	0.31415	0	0	0	not_run_preregistered_P3_stop	0	none_found	none_found	QTL signal alone is annotation; no route had the complete compatible model inputs required for H0-H4 colocalization
phase19b_sex_apoe_kda_combo_v2_final_evidence	GS19B0069	FN3K	P3	mapped_by_symbol	none_found	4	0	0.0049062	0	0	0	not_run_preregistered_P3_stop	0	none_found	none_found	QTL signal alone is annotation; no route had the complete compatible model inputs required for H0-H4 colocalization
phase19b_sex_apoe_kda_combo_v2_final_evidence	GS19B0070	FNDC3B	P3	mapped_by_symbol	none_found	4	0	0.0095543	0	0	0	not_run_preregistered_P3_stop	0	none_found	none_found	QTL signal alone is annotation; no route had the complete compatible model inputs required for H0-H4 colocalization
phase19b_sex_apoe_kda_combo_v2_final_evidence	GS19B0071	FTL	P2	mapped_by_symbol	none_found	4	0	0.0099604	4	2	2	assessed_P1_P2	0	none_found	none_found	QTL signal alone is annotation; no route had the complete compatible model inputs required for H0-H4 colocalization
phase19b_sex_apoe_kda_combo_v2_final_evidence	GS19B0072	GABARAPL2	P2	mapped_by_symbol	none_found	4	0	0.18846	10	0	5	assessed_P1_P2	0	none_found	none_found	QTL signal alone is annotation; no route had the complete compatible model inputs required for H0-H4 colocalization
phase19b_sex_apoe_kda_combo_v2_final_evidence	GS19B0073	GABPB2	P3	mapped_by_symbol	none_found	4	0	0.069533	0	0	0	not_run_preregistered_P3_stop	0	none_found	none_found	QTL signal alone is annotation; no route had the complete compatible model inputs required for H0-H4 colocalization
phase19b_sex_apoe_kda_combo_v2_final_evidence	GS19B0074	GABRA1	P3	mapped_by_symbol	none_found	4	0	0.068616	0	0	0	not_run_preregistered_P3_stop	0	none_found	none_found	QTL signal alone is annotation; no route had the complete compatible model inputs required for H0-H4 colocalization
phase19b_sex_apoe_kda_combo_v2_final_evidence	GS19B0075	GALNT2	P2	mapped_by_symbol	none_found	4	0	0.18616	4	2	2	assessed_P1_P2	0	none_found	none_found	QTL signal alone is annotation; no route had the complete compatible model inputs required for H0-H4 colocalization
phase19b_sex_apoe_kda_combo_v2_final_evidence	GS19B0076	GAPDH	P2	mapped_by_symbol	none_found	4	0	0.14565	10	10	5	assessed_P1_P2	0	none_found	none_found	QTL signal alone is annotation; no route had the complete compatible model inputs required for H0-H4 colocalization
phase19b_sex_apoe_kda_combo_v2_final_evidence	GS19B0077	GATAD1	P2	mapped_by_symbol	none_found	4	0	0.15843	6	3	3	assessed_P1_P2	0	none_found	none_found	QTL signal alone is annotation; no route had the complete compatible model inputs required for H0-H4 colocalization
phase19b_sex_apoe_kda_combo_v2_final_evidence	GS19B0078	GCLM	P3	mapped_by_symbol	none_found	4	0	0.063531	0	0	0	not_run_preregistered_P3_stop	0	none_found	none_found	QTL signal alone is annotation; no route had the complete compatible model inputs required for H0-H4 colocalization
phase19b_sex_apoe_kda_combo_v2_final_evidence	GS19B0079	GGH	P3	mapped_by_symbol	none_found	4	0	0.11388	0	0	0	not_run_preregistered_P3_stop	0	none_found	none_found	QTL signal alone is annotation; no route had the complete compatible model inputs required for H0-H4 colocalization
phase19b_sex_apoe_kda_combo_v2_final_evidence	GS19B0080	GNG3	P2	mapped_by_symbol	none_found	4	0	0.80446	4	0	2	assessed_P1_P2	0	none_found	none_found	QTL signal alone is annotation; no route had the complete compatible model inputs required for H0-H4 colocalization
phase19b_sex_apoe_kda_combo_v2_final_evidence	GS19B0081	GREB1	P3	mapped_by_symbol	none_found	4	0	0.02716	0	0	0	not_run_preregistered_P3_stop	0	none_found	none_found	QTL signal alone is annotation; no route had the complete compatible model inputs required for H0-H4 colocalization
phase19b_sex_apoe_kda_combo_v2_final_evidence	GS19B0082	GRINA	P2	mapped_by_symbol	none_found	4	0	0.0058647	2	2	1	assessed_P1_P2	0	none_found	none_found	QTL signal alone is annotation; no route had the complete compatible model inputs required for H0-H4 colocalization
phase19b_sex_apoe_kda_combo_v2_final_evidence	GS19B0083	GSTP1	P2	mapped_by_symbol	none_found	4	0	0.14808	2	1	1	assessed_P1_P2	0	none_found	none_found	QTL signal alone is annotation; no route had the complete compatible model inputs required for H0-H4 colocalization
phase19b_sex_apoe_kda_combo_v2_final_evidence	GS19B0084	GTF2A1	P3	mapped_by_symbol	none_found	4	0	0.20219	0	0	0	not_run_preregistered_P3_stop	0	none_found	none_found	QTL signal alone is annotation; no route had the complete compatible model inputs required for H0-H4 colocalization
phase19b_sex_apoe_kda_combo_v2_final_evidence	GS19B0085	HOOK2	P3	mapped_by_symbol	none_found	4	0	0.17176	0	0	0	not_run_preregistered_P3_stop	0	none_found	none_found	QTL signal alone is annotation; no route had the complete compatible model inputs required for H0-H4 colocalization
phase19b_sex_apoe_kda_combo_v2_final_evidence	GS19B0086	HSP90AB1	P2	mapped_by_symbol	none_found	4	0	0.15137	2	1	1	assessed_P1_P2	0	none_found	none_found	QTL signal alone is annotation; no route had the complete compatible model inputs required for H0-H4 colocalization
phase19b_sex_apoe_kda_combo_v2_final_evidence	GS19B0087	HSPA13	P3	mapped_by_symbol	none_found	4	0	0.14615	0	0	0	not_run_preregistered_P3_stop	0	none_found	none_found	QTL signal alone is annotation; no route had the complete compatible model inputs required for H0-H4 colocalization
phase19b_sex_apoe_kda_combo_v2_final_evidence	GS19B0088	HSPA1A	P2	mapped_by_symbol	none_found	4	0	0.138	6	0	0	assessed_P1_P2	0	none_found	none_found	QTL signal alone is annotation; no route had the complete compatible model inputs required for H0-H4 colocalization
phase19b_sex_apoe_kda_combo_v2_final_evidence	GS19B0089	HSPH1	P2	mapped_by_symbol	none_found	4	0	0.085025	4	2	1	assessed_P1_P2	0	none_found	none_found	QTL signal alone is annotation; no route had the complete compatible model inputs required for H0-H4 colocalization
phase19b_sex_apoe_kda_combo_v2_final_evidence	GS19B0090	ID2	P2	mapped_by_symbol	none_found	4	0	0.46367	2	0	1	assessed_P1_P2	0	none_found	none_found	QTL signal alone is annotation; no route had the complete compatible model inputs required for H0-H4 colocalization
phase19b_sex_apoe_kda_combo_v2_final_evidence	GS19B0091	IGF1R	P3	mapped_by_symbol	none_found	4	0	0.067006	0	0	0	not_run_preregistered_P3_stop	0	none_found	none_found	QTL signal alone is annotation; no route had the complete compatible model inputs required for H0-H4 colocalization
phase19b_sex_apoe_kda_combo_v2_final_evidence	GS19B0092	IKZF4	P3	mapped_by_symbol	none_found	4	0	0.025083	0	0	0	not_run_preregistered_P3_stop	0	none_found	none_found	QTL signal alone is annotation; no route had the complete compatible model inputs required for H0-H4 colocalization
phase19b_sex_apoe_kda_combo_v2_final_evidence	GS19B0093	INTS8	P2	mapped_by_symbol	moderate	4	1	4.5842e-05	2	1	1	assessed_P1_P2	0	moderate	tier1_public_summary	QTL signal alone is annotation; no route had the complete compatible model inputs required for H0-H4 colocalization
phase19b_sex_apoe_kda_combo_v2_final_evidence	GS19B0094	IRAK1BP1	P3	mapped_by_symbol	none_found	4	0	0.049925	0	0	0	not_run_preregistered_P3_stop	0	none_found	none_found	QTL signal alone is annotation; no route had the complete compatible model inputs required for H0-H4 colocalization
phase19b_sex_apoe_kda_combo_v2_final_evidence	GS19B0095	IRAK2	P3	mapped_by_symbol	none_found	4	0	0.30626	0	0	0	not_run_preregistered_P3_stop	0	none_found	none_found	QTL signal alone is annotation; no route had the complete compatible model inputs required for H0-H4 colocalization
phase19b_sex_apoe_kda_combo_v2_final_evidence	GS19B0096	JAKMIP3	P3	mapped_by_symbol	none_found	4	0	0.19791	0	0	0	not_run_preregistered_P3_stop	0	none_found	none_found	QTL signal alone is annotation; no route had the complete compatible model inputs required for H0-H4 colocalization
phase19b_sex_apoe_kda_combo_v2_final_evidence	GS19B0097	KATNBL1	P3	mapped_by_symbol	none_found	4	0	0.02678	0	0	0	not_run_preregistered_P3_stop	0	none_found	none_found	QTL signal alone is annotation; no route had the complete compatible model inputs required for H0-H4 colocalization
phase19b_sex_apoe_kda_combo_v2_final_evidence	GS19B0098	KTN1	P2	mapped_by_symbol	none_found	4	0	0.047205	4	4	2	assessed_P1_P2	0	none_found	none_found	QTL signal alone is annotation; no route had the complete compatible model inputs required for H0-H4 colocalization
phase19b_sex_apoe_kda_combo_v2_final_evidence	GS19B0099	LAGE3	P1	mapped_by_symbol	none_found	0	0	NA	6	0	0	assessed_P1_P2	0	none_found	none_found	QTL signal alone is annotation; no route had the complete compatible model inputs required for H0-H4 colocalization
phase19b_sex_apoe_kda_combo_v2_final_evidence	GS19B0100	LAMTOR5	P2	mapped_by_symbol	none_found	4	0	0.17164	12	0	6	assessed_P1_P2	0	none_found	none_found	QTL signal alone is annotation; no route had the complete compatible model inputs required for H0-H4 colocalization
phase19b_sex_apoe_kda_combo_v2_final_evidence	GS19B0101	LAPTM4A	P2	mapped_by_symbol	none_found	4	0	0.023798	4	2	2	assessed_P1_P2	0	none_found	none_found	QTL signal alone is annotation; no route had the complete compatible model inputs required for H0-H4 colocalization
phase19b_sex_apoe_kda_combo_v2_final_evidence	GS19B0102	LRP1B	P3	mapped_by_symbol	none_found	4	0	0.12434	0	0	0	not_run_preregistered_P3_stop	0	none_found	none_found	QTL signal alone is annotation; no route had the complete compatible model inputs required for H0-H4 colocalization
phase19b_sex_apoe_kda_combo_v2_final_evidence	GS19B0103	LUZP2	P2	mapped_by_symbol	none_found	4	0	0.0096229	2	2	1	assessed_P1_P2	0	none_found	none_found	QTL signal alone is annotation; no route had the complete compatible model inputs required for H0-H4 colocalization
