schema_version	rds_id	canonical_symbol	symbol_hgnc_current	reference_class	hgnc_id	ensembl_id_stable	chromosome	gene_type	sub_mito_localization	mapped_feature	measured	test_eligible
mitochondrial_reference_inventory_v1	astrocytes	ACOT9	ACOT9	core_mito_protein	HGNC:17152	ENSG00000123130	chrX	protein_coding	MIM	ACOT9	TRUE	TRUE
mitochondrial_reference_inventory_v1	astrocytes	ACP6	ACP6	core_mito_protein	HGNC:29609	ENSG00000162836	chr1	protein_coding	IMS	ACP6	TRUE	TRUE
mitochondrial_reference_inventory_v1	astrocytes	ACSF2	ACSF2	core_mito_protein	HGNC:26101	ENSG00000167107	chr17	protein_coding	Matrix	ACSF2	TRUE	TRUE
mitochondrial_reference_inventory_v1	astrocytes	ACSF3	ACSF3	core_mito_protein	HGNC:27288	ENSG00000176715	chr16	protein_coding	Matrix	ACSF3	TRUE	TRUE
mitochondrial_reference_inventory_v1	astrocytes	ACSL1	ACSL1	core_mito_protein	HGNC:3569	ENSG00000151726	chr4	protein_coding	MOM	ACSL1	TRUE	TRUE
mitochondrial_reference_inventory_v1	astrocytes	ACSL6	ACSL6	core_mito_protein	HGNC:16496	ENSG00000164398	chr5	protein_coding	MOM	ACSL6	TRUE	TRUE
mitochondrial_reference_inventory_v1	astrocytes	ACSM1	ACSM1	core_mito_protein	HGNC:18049	ENSG00000166743	chr16	protein_coding	Matrix	ACSM1	TRUE	TRUE
mitochondrial_reference_inventory_v1	astrocytes	ACSM2A	ACSM2A	core_mito_protein	HGNC:32017	ENSG00000183747	chr16	protein_coding	Matrix	ACSM2A	TRUE	TRUE
mitochondrial_reference_inventory_v1	astrocytes	ACSM2B	ACSM2B	core_mito_protein	HGNC:30931	ENSG00000066813	chr16	protein_coding	Matrix	ACSM2B	TRUE	TRUE
mitochondrial_reference_inventory_v1	astrocytes	ACSM3	ACSM3	core_mito_protein	HGNC:10522	ENSG00000005187	chr16	protein_coding	Matrix	ACSM3	TRUE	TRUE
mitochondrial_reference_inventory_v1	astrocytes	ACSM4	ACSM4	core_mito_protein	HGNC:32016	ENSG00000215009	chr12	protein_coding	Matrix	ACSM4	TRUE	TRUE
mitochondrial_reference_inventory_v1	astrocytes	ACSM5	ACSM5	core_mito_protein	HGNC:26060	ENSG00000183549	chr16	protein_coding	Matrix	ACSM5	TRUE	TRUE
mitochondrial_reference_inventory_v1	astrocytes	ACSS1	ACSS1	core_mito_protein	HGNC:16091	ENSG00000154930	chr20	protein_coding	MIM	ACSS1	TRUE	TRUE
mitochondrial_reference_inventory_v1	astrocytes	ACSS3	ACSS3	core_mito_protein	HGNC:24723	ENSG00000111058	chr12	protein_coding	Matrix	ACSS3	TRUE	TRUE
mitochondrial_reference_inventory_v1	astrocytes	ADCK1	ADCK1	core_mito_protein	HGNC:19038	ENSG00000063761	chr14	protein_coding	unknown	ADCK1	TRUE	TRUE
mitochondrial_reference_inventory_v1	astrocytes	ADCK2	ADCK2	core_mito_protein	HGNC:19039	ENSG00000133597	chr7	protein_coding	MIM	ADCK2	TRUE	TRUE
mitochondrial_reference_inventory_v1	astrocytes	ADCK5	ADCK5	core_mito_protein	HGNC:21738	ENSG00000173137	chr8	protein_coding	unknown	ADCK5	TRUE	TRUE
mitochondrial_reference_inventory_v1	astrocytes	ADCY10	ADCY10	core_mito_protein	HGNC:21285	ENSG00000143199	chr1	protein_coding	Membrane	ADCY10	TRUE	TRUE
mitochondrial_reference_inventory_v1	astrocytes	ADHFE1	ADHFE1	core_mito_protein	HGNC:16354	ENSG00000147576	chr8	protein_coding	Matrix	ADHFE1	TRUE	TRUE
mitochondrial_reference_inventory_v1	astrocytes	AFG1L	AFG1L	core_mito_protein	HGNC:16411	ENSG00000135537	chr6	protein_coding	MIM	AFG1L	TRUE	TRUE
mitochondrial_reference_inventory_v1	astrocytes	AFG3L2	AFG3L2	core_mito_protein	HGNC:315	ENSG00000141385	chr18	protein_coding	MIM	AFG3L2	TRUE	TRUE
mitochondrial_reference_inventory_v1	astrocytes	AGK	AGK	core_mito_protein	HGNC:21869	ENSG00000006530	chr7	protein_coding	MIM	AGK	TRUE	TRUE
mitochondrial_reference_inventory_v1	astrocytes	AGMAT	AGMAT	core_mito_protein	HGNC:18407	ENSG00000116771	chr1	protein_coding	Matrix	AGMAT	TRUE	TRUE
mitochondrial_reference_inventory_v1	astrocytes	AGPAT4	AGPAT4	core_mito_protein	HGNC:20885	ENSG00000026652	chr6	protein_coding	MOM	AGPAT4	TRUE	TRUE
mitochondrial_reference_inventory_v1	astrocytes	AGPAT5	AGPAT5	core_mito_protein	HGNC:20886	ENSG00000155189	chr8	protein_coding	MOM	AGPAT5	TRUE	TRUE
mitochondrial_reference_inventory_v1	astrocytes	AGXT	AGXT	core_mito_protein	HGNC:341	ENSG00000172482	chr2	protein_coding	Matrix	AGT;AGXT	TRUE	TRUE
mitochondrial_reference_inventory_v1	astrocytes	AGXT2	AGXT2	core_mito_protein	HGNC:14412	ENSG00000113492	chr5	protein_coding	Matrix	AGXT2	TRUE	TRUE
mitochondrial_reference_inventory_v1	astrocytes	AHCYL1	AHCYL1	core_mito_protein	HGNC:344	ENSG00000168710	chr1	protein_coding	MOM	AHCYL1	TRUE	TRUE
mitochondrial_reference_inventory_v1	astrocytes	AIFM1	AIFM1	core_mito_protein	HGNC:8768	ENSG00000156709	chrX	protein_coding	MIM	AIFM1	TRUE	TRUE
mitochondrial_reference_inventory_v1	astrocytes	AIFM2	AIFM2	core_mito_protein	HGNC:21411	ENSG00000042286	chr10	protein_coding	Membrane	AIFM2;PRG3	TRUE	TRUE
mitochondrial_reference_inventory_v1	astrocytes	AIFM3	AIFM3	core_mito_protein	HGNC:26398	ENSG00000183773	chr22	protein_coding	MIM	AIFM3	TRUE	TRUE
mitochondrial_reference_inventory_v1	astrocytes	AK2	AK2	core_mito_protein	HGNC:362	ENSG00000004455	chr1	protein_coding	IMS	AK2	TRUE	TRUE
mitochondrial_reference_inventory_v1	astrocytes	AK3	AK3	core_mito_protein	HGNC:17376	ENSG00000147853	chr9	protein_coding	Matrix	AK3;AK6	TRUE	TRUE
mitochondrial_reference_inventory_v1	astrocytes	AK4	AK4	core_mito_protein	HGNC:363	ENSG00000162433	chr1	protein_coding	Matrix	AK4	TRUE	TRUE
mitochondrial_reference_inventory_v1	astrocytes	AKAP1	AKAP1	core_mito_protein	HGNC:367	ENSG00000121057	chr17	protein_coding	MOM	AKAP1	TRUE	TRUE
mitochondrial_reference_inventory_v1	astrocytes	AKAP10	AKAP10	core_mito_protein	HGNC:368	ENSG00000108599	chr17	protein_coding	MOM	AKAP10	TRUE	TRUE
mitochondrial_reference_inventory_v1	astrocytes	AKR1B10	AKR1B10	core_mito_protein	HGNC:382	ENSG00000198074	chr7	protein_coding	unknown	AKR1B10;ARL1	TRUE	TRUE
mitochondrial_reference_inventory_v1	astrocytes	AKR7A2	AKR7A2	core_mito_protein	HGNC:389	ENSG00000053371	chr1	protein_coding	Matrix	AKR7A2	TRUE	TRUE
mitochondrial_reference_inventory_v1	astrocytes	ALAS1	ALAS1	core_mito_protein	HGNC:396	ENSG00000023330	chr3	protein_coding	Matrix	ALAS1	TRUE	TRUE
mitochondrial_reference_inventory_v1	astrocytes	ALAS2	ALAS2	core_mito_protein	HGNC:397	ENSG00000158578	chrX	protein_coding	Matrix	ALAS2	TRUE	TRUE
mitochondrial_reference_inventory_v1	astrocytes	ALDH18A1	ALDH18A1	core_mito_protein	HGNC:9722	ENSG00000059573	chr10	protein_coding	Matrix	ALDH18A1	TRUE	TRUE
mitochondrial_reference_inventory_v1	astrocytes	ALDH1B1	ALDH1B1	core_mito_protein	HGNC:407	ENSG00000137124	chr9	protein_coding	Matrix	ALDH1B1	TRUE	TRUE
mitochondrial_reference_inventory_v1	astrocytes	ALDH1L1	ALDH1L1	core_mito_protein	HGNC:3978	ENSG00000144908	chr3	protein_coding	Matrix	ALDH1L1	TRUE	TRUE
mitochondrial_reference_inventory_v1	astrocytes	ALDH1L2	ALDH1L2	core_mito_protein	HGNC:26777	ENSG00000136010	chr12	protein_coding	Matrix	ALDH1L2	TRUE	TRUE
mitochondrial_reference_inventory_v1	astrocytes	ALDH2	ALDH2	core_mito_protein	HGNC:404	ENSG00000111275	chr12	protein_coding	Matrix	ALDH2	TRUE	TRUE
mitochondrial_reference_inventory_v1	astrocytes	ALDH3A2	ALDH3A2	core_mito_protein	HGNC:403	ENSG00000072210	chr17	protein_coding	Membrane	ALDH3A2	TRUE	TRUE
mitochondrial_reference_inventory_v1	astrocytes	ALDH4A1	ALDH4A1	core_mito_protein	HGNC:406	ENSG00000159423	chr1	protein_coding	Matrix	ALDH4A1	TRUE	FALSE
mitochondrial_reference_inventory_v1	astrocytes	ALDH5A1	ALDH5A1	core_mito_protein	HGNC:408	ENSG00000112294	chr6	protein_coding	Matrix	ALDH5A1	TRUE	TRUE
mitochondrial_reference_inventory_v1	astrocytes	ALDH6A1	ALDH6A1	core_mito_protein	HGNC:7179	ENSG00000119711	chr14	protein_coding	MIM	ALDH6A1	TRUE	TRUE
mitochondrial_reference_inventory_v1	astrocytes	ALDH7A1	ALDH7A1	core_mito_protein	HGNC:877	ENSG00000164904	chr5	protein_coding	Matrix	ALDH7A1	TRUE	TRUE
mitochondrial_reference_inventory_v1	astrocytes	ALDH9A1	ALDH9A1	core_mito_protein	HGNC:412	ENSG00000143149	chr1	protein_coding	Matrix	ALDH9A1	TRUE	TRUE
mitochondrial_reference_inventory_v1	astrocytes	ALKBH1	ALKBH1	core_mito_protein	HGNC:17911	ENSG00000100601	chr14	protein_coding	Matrix	ALKBH1	TRUE	TRUE
mitochondrial_reference_inventory_v1	astrocytes	ALKBH7	ALKBH7	core_mito_protein	HGNC:21306	ENSG00000125652	chr19	protein_coding	Matrix	ALKBH7	TRUE	TRUE
mitochondrial_reference_inventory_v1	astrocytes	AMACR	AMACR	core_mito_protein	HGNC:451	ENSG00000242110	chr5	protein_coding	Matrix	AMACR	TRUE	TRUE
mitochondrial_reference_inventory_v1	astrocytes	AMT	AMT	core_mito_protein	HGNC:473	ENSG00000145020	chr3	protein_coding	Matrix	AMT	TRUE	TRUE
mitochondrial_reference_inventory_v1	astrocytes	ANGEL2	ANGEL2	core_mito_protein	HGNC:30534	ENSG00000174606	chr1	protein_coding	Matrix	ANGEL2	TRUE	TRUE
mitochondrial_reference_inventory_v1	astrocytes	ANTKMT	ANTKMT	core_mito_protein	HGNC:14152	ENSG00000103254	chr16	protein_coding	MIM	FAM173A	TRUE	TRUE
mitochondrial_reference_inventory_v1	astrocytes	APEX1	APEX1	core_mito_protein	HGNC:587	ENSG00000100823	chr14	protein_coding	Matrix	APEX1;HAP1	TRUE	TRUE
mitochondrial_reference_inventory_v1	astrocytes	APOO	APOO	core_mito_protein	HGNC:28727	ENSG00000184831	chrX	protein_coding	MIM	APOO	TRUE	TRUE
mitochondrial_reference_inventory_v1	astrocytes	APOOL	APOOL	core_mito_protein	HGNC:24009	ENSG00000155008	chrX	protein_coding	MIM	APOOL	TRUE	TRUE
mitochondrial_reference_inventory_v1	astrocytes	ARF5	ARF5	core_mito_protein	HGNC:658	ENSG00000004059	chr7	protein_coding	unknown	ARF5	TRUE	TRUE
mitochondrial_reference_inventory_v1	astrocytes	ARG2	ARG2	core_mito_protein	HGNC:664	ENSG00000081181	chr14	protein_coding	Matrix	ARG2	TRUE	TRUE
mitochondrial_reference_inventory_v1	astrocytes	ARL2	ARL2	core_mito_protein	HGNC:693	ENSG00000213465	chr11	protein_coding	IMS	ARL2	TRUE	TRUE
mitochondrial_reference_inventory_v1	astrocytes	ARMC10	ARMC10	core_mito_protein	HGNC:21706	ENSG00000170632	chr7	protein_coding	MOM	ARMC10	TRUE	TRUE
mitochondrial_reference_inventory_v1	astrocytes	ARMCX1	ARMCX1	core_mito_protein	HGNC:18073	ENSG00000126947	chrX	protein_coding	MOM	ARMCX1	TRUE	TRUE
mitochondrial_reference_inventory_v1	astrocytes	ARMCX2	ARMCX2	core_mito_protein	HGNC:16869	ENSG00000184867	chrX	protein_coding	Membrane	ARMCX2	TRUE	TRUE
mitochondrial_reference_inventory_v1	astrocytes	ARMCX3	ARMCX3	core_mito_protein	HGNC:24065	ENSG00000102401	chrX	protein_coding	MOM	ARMCX3	TRUE	TRUE
mitochondrial_reference_inventory_v1	astrocytes	ARMCX6	ARMCX6	core_mito_protein	HGNC:26094	ENSG00000198960	chrX	protein_coding	Membrane	ARMCX6	TRUE	TRUE
mitochondrial_reference_inventory_v1	astrocytes	ATAD1	ATAD1	core_mito_protein	HGNC:25903	ENSG00000138138	chr10	protein_coding	MOM	ATAD1	TRUE	TRUE
mitochondrial_reference_inventory_v1	astrocytes	ATAD3A	ATAD3A	core_mito_protein	HGNC:25567	ENSG00000197785	chr1	protein_coding	MIM	ATAD3A	TRUE	TRUE
mitochondrial_reference_inventory_v1	astrocytes	ATAD3B	ATAD3B	core_mito_protein	HGNC:24007	ENSG00000160072	chr1	protein_coding	MIM	ATAD3B	TRUE	TRUE
mitochondrial_reference_inventory_v1	astrocytes	ATP23	ATP23	core_mito_protein	HGNC:29452	ENSG00000166896	chr12	protein_coding	IMS	ATP23	TRUE	TRUE
mitochondrial_reference_inventory_v1	astrocytes	ATP5F1A	ATP5F1A	core_mito_protein	HGNC:823	ENSG00000152234	chr18	protein_coding	MIM	ATP5F1A	TRUE	TRUE
mitochondrial_reference_inventory_v1	astrocytes	ATP5F1B	ATP5F1B	core_mito_protein	HGNC:830	ENSG00000110955	chr12	protein_coding	MIM	ATP5F1B	TRUE	TRUE
mitochondrial_reference_inventory_v1	astrocytes	ATP5F1C	ATP5F1C	core_mito_protein	HGNC:833	ENSG00000165629	chr10	protein_coding	MIM	ATP5F1C	TRUE	TRUE
mitochondrial_reference_inventory_v1	astrocytes	ATP5F1D	ATP5F1D	core_mito_protein	HGNC:837	ENSG00000099624	chr19	protein_coding	MIM	ATP5F1D	TRUE	TRUE
mitochondrial_reference_inventory_v1	astrocytes	ATP5F1E	ATP5F1E	core_mito_protein	HGNC:838	ENSG00000124172	chr20	protein_coding	MIM	ATP5F1E	TRUE	TRUE
mitochondrial_reference_inventory_v1	astrocytes	ATP5IF1	ATP5IF1	core_mito_protein	HGNC:871	ENSG00000130770	chr1	protein_coding	Matrix	ATP5IF1	TRUE	TRUE
mitochondrial_reference_inventory_v1	astrocytes	ATP5MC1	ATP5MC1	core_mito_protein	HGNC:841	ENSG00000159199	chr17	protein_coding	MIM	ATP5MC1	TRUE	TRUE
mitochondrial_reference_inventory_v1	astrocytes	ATP5MC2	ATP5MC2	core_mito_protein	HGNC:842	ENSG00000135390	chr12	protein_coding	MIM	ATP5MC2	TRUE	TRUE
mitochondrial_reference_inventory_v1	astrocytes	ATP5MC3	ATP5MC3	core_mito_protein	HGNC:843	ENSG00000154518	chr2	protein_coding	MIM	ATP5MC3	TRUE	TRUE
mitochondrial_reference_inventory_v1	astrocytes	ATP5MD	ATP5MK	core_mito_protein	HGNC:30889	ENSG00000173915	chr10	protein_coding	MIM	ATP5MD	TRUE	TRUE
mitochondrial_reference_inventory_v1	astrocytes	ATP5ME	ATP5ME	core_mito_protein	HGNC:846	ENSG00000169020	chr4	protein_coding	MIM	ATP5ME	TRUE	TRUE
mitochondrial_reference_inventory_v1	astrocytes	ATP5MF	ATP5MF	core_mito_protein	HGNC:848	ENSG00000241468	chr7	protein_coding	MIM	ATP5MF	TRUE	TRUE
mitochondrial_reference_inventory_v1	astrocytes	ATP5MF-PTCD1	ATP5MF-PTCD1	core_mito_protein	HGNC:38844	ENSG00000248919	chr7	protein_coding	unknown	ATP5MF-PTCD1	TRUE	FALSE
mitochondrial_reference_inventory_v1	astrocytes	ATP5MG	ATP5MG	core_mito_protein	HGNC:14247	ENSG00000167283	chr11	protein_coding	MIM	ATP5MG	TRUE	TRUE
mitochondrial_reference_inventory_v1	astrocytes	ATP5MPL	ATP5MJ	core_mito_protein	HGNC:1188	ENSG00000156411	chr14	protein_coding	MIM	ATP5MPL	TRUE	TRUE
mitochondrial_reference_inventory_v1	astrocytes	ATP5PB	ATP5PB	core_mito_protein	HGNC:840	ENSG00000116459	chr1	protein_coding	MIM	ATP5PB	TRUE	TRUE
mitochondrial_reference_inventory_v1	astrocytes	ATP5PD	ATP5PD	core_mito_protein	HGNC:845	ENSG00000167863	chr17	protein_coding	MIM	ATP5PD	TRUE	TRUE
mitochondrial_reference_inventory_v1	astrocytes	ATP5PF	ATP5PF	core_mito_protein	HGNC:847	ENSG00000154723	chr21	protein_coding	MIM	ATP5PF	TRUE	TRUE
mitochondrial_reference_inventory_v1	astrocytes	ATP5PO	ATP5PO	core_mito_protein	HGNC:850	ENSG00000241837	chr21	protein_coding	MIM	ATP5PO	TRUE	FALSE
mitochondrial_reference_inventory_v1	astrocytes	ATPAF1	ATPAF1	core_mito_protein	HGNC:18803	ENSG00000123472	chr1	protein_coding	Matrix	ATPAF1	TRUE	TRUE
mitochondrial_reference_inventory_v1	astrocytes	ATPAF2	ATPAF2	core_mito_protein	HGNC:18802	ENSG00000171953	chr17	protein_coding	Matrix	ATPAF2	TRUE	TRUE
mitochondrial_reference_inventory_v1	astrocytes	ATPSCKMT	ATPSCKMT	core_mito_protein	HGNC:27029	ENSG00000150756	chr5	protein_coding	MIM	FAM173B	TRUE	TRUE
mitochondrial_reference_inventory_v1	astrocytes	AUH	AUH	core_mito_protein	HGNC:890	ENSG00000148090	chr9	protein_coding	Matrix	AUH	TRUE	TRUE
mitochondrial_reference_inventory_v1	astrocytes	AURKAIP1	AURKAIP1	core_mito_protein	HGNC:24114	ENSG00000175756	chr1	protein_coding	Matrix	AIP;AURKAIP1	TRUE	TRUE
mitochondrial_reference_inventory_v1	astrocytes	BAD	BAD	core_mito_protein	HGNC:936	ENSG00000002330	chr11	protein_coding	MOM	BAD	TRUE	TRUE
mitochondrial_reference_inventory_v1	astrocytes	BAK1	BAK1	core_mito_protein	HGNC:949	ENSG00000030110	chr6	protein_coding	MOM	BAK1	TRUE	TRUE
mitochondrial_reference_inventory_v1	astrocytes	BAX	BAX	core_mito_protein	HGNC:959	ENSG00000087088	chr19	protein_coding	MOM	BAX	TRUE	TRUE
mitochondrial_reference_inventory_v1	astrocytes	BBC3	BBC3	core_mito_protein	HGNC:17868	ENSG00000105327	chr19	protein_coding	MOM	BBC3	TRUE	TRUE
mitochondrial_reference_inventory_v1	astrocytes	BCAT2	BCAT2	core_mito_protein	HGNC:977	ENSG00000105552	chr19	protein_coding	Matrix	BCAM;BCAT2	TRUE	TRUE
mitochondrial_reference_inventory_v1	astrocytes	BCKDHA	BCKDHA	core_mito_protein	HGNC:986	ENSG00000248098	chr19	protein_coding	MIM	BCKDHA	TRUE	TRUE
mitochondrial_reference_inventory_v1	astrocytes	BCKDHB	BCKDHB	core_mito_protein	HGNC:987	ENSG00000083123	chr6	protein_coding	MIM	BCKDHB	TRUE	TRUE
mitochondrial_reference_inventory_v1	astrocytes	BCKDK	BCKDK	core_mito_protein	HGNC:16902	ENSG00000103507	chr16	protein_coding	Matrix	BCKDK	TRUE	TRUE
mitochondrial_reference_inventory_v1	astrocytes	BCL2	BCL2	core_mito_protein	HGNC:990	ENSG00000171791	chr18	protein_coding	MOM	BCL2	TRUE	TRUE
mitochondrial_reference_inventory_v1	astrocytes	BCL2A1	BCL2A1	core_mito_protein	HGNC:991	ENSG00000140379	chr15	protein_coding	MOM	BCL2A1	TRUE	TRUE
mitochondrial_reference_inventory_v1	astrocytes	BCL2L1	BCL2L1	core_mito_protein	HGNC:992	ENSG00000171552	chr20	protein_coding	MOM	BCL2L1	TRUE	TRUE
mitochondrial_reference_inventory_v1	astrocytes	BCL2L10	BCL2L10	core_mito_protein	HGNC:993	ENSG00000137875	chr15	protein_coding	MOM	BCL2L10	TRUE	TRUE
mitochondrial_reference_inventory_v1	astrocytes	BCL2L11	BCL2L11	core_mito_protein	HGNC:994	ENSG00000153094	chr2	protein_coding	MOM	BCL2L11	TRUE	TRUE
mitochondrial_reference_inventory_v1	astrocytes	BCL2L13	BCL2L13	core_mito_protein	HGNC:17164	ENSG00000099968	chr22	protein_coding	MOM	BCL2L13	TRUE	TRUE
mitochondrial_reference_inventory_v1	astrocytes	BCL2L2	BCL2L2	core_mito_protein	HGNC:995	ENSG00000129473	chr14	protein_coding	MOM	BCL2L2	TRUE	TRUE
mitochondrial_reference_inventory_v1	astrocytes	BCO2	BCO2	core_mito_protein	HGNC:18503	ENSG00000197580	chr11	protein_coding	MIM	BCO2	TRUE	TRUE
mitochondrial_reference_inventory_v1	astrocytes	BCS1L	BCS1L	core_mito_protein	HGNC:1020	ENSG00000074582	chr2	protein_coding	MIM	BCS1L	TRUE	TRUE
mitochondrial_reference_inventory_v1	astrocytes	BDH1	BDH1	core_mito_protein	HGNC:1027	ENSG00000161267	chr3	protein_coding	MIM	BDH1	TRUE	TRUE
mitochondrial_reference_inventory_v1	astrocytes	BID	BID	core_mito_protein	HGNC:1050	ENSG00000015475	chr22	protein_coding	MOM	BID	TRUE	TRUE
