schema_version	gene	ensembl_gene_id	gene_type	chromosome	start	end	strand	window_start	window_end	genome_build
phase19b_sex_apoe_kda_combo_v2_loci	BEX4	ENSG00000102409	protein_coding	X	103215108	103217246	+	102215108	104217246	GRCh38
phase19b_sex_apoe_kda_combo_v2_loci	BEX5	ENSG00000184515	protein_coding	X	102153708	102155977	-	101153708	103155977	GRCh38
phase19b_sex_apoe_kda_combo_v2_loci	BMPR2	ENSG00000204217	protein_coding	2	202376327	202567751	+	201376327	203567751	GRCh38
phase19b_sex_apoe_kda_combo_v2_loci	BRD1	ENSG00000100425	protein_coding	22	49773283	49827873	-	48773283	50827873	GRCh38
phase19b_sex_apoe_kda_combo_v2_loci	BRK1	ENSG00000254999	protein_coding	3	10115675	10127190	+	9115675	11127190	GRCh38
phase19b_sex_apoe_kda_combo_v2_loci	BTF3	ENSG00000145741	protein_coding	5	73498408	73505667	+	72498408	74505667	GRCh38
phase19b_sex_apoe_kda_combo_v2_loci	C11orf68	ENSG00000175573	protein_coding	11	65916810	65919062	-	64916810	66919062	GRCh38
phase19b_sex_apoe_kda_combo_v2_loci	CADM1	ENSG00000182985	protein_coding	11	115169218	115504957	-	114169218	116504957	GRCh38
phase19b_sex_apoe_kda_combo_v2_loci	CAMK2N2	ENSG00000163888	protein_coding	3	184259213	184261553	-	183259213	185261553	GRCh38
phase19b_sex_apoe_kda_combo_v2_loci	CARNS1	ENSG00000172508	protein_coding	11	67414968	67425607	+	66414968	68425607	GRCh38
phase19b_sex_apoe_kda_combo_v2_loci	CCDC85B	ENSG00000175602	protein_coding	11	65890673	65891635	+	64890673	66891635	GRCh38
phase19b_sex_apoe_kda_combo_v2_loci	CD81	ENSG00000110651	protein_coding	11	2376177	2397802	+	1376177	3397802	GRCh38
phase19b_sex_apoe_kda_combo_v2_loci	CEBPD	ENSG00000221869	protein_coding	8	47736913	47738164	-	46736913	48738164	GRCh38
phase19b_sex_apoe_kda_combo_v2_loci	CEP57	ENSG00000166037	protein_coding	11	95789965	95832693	+	94789965	96832693	GRCh38
phase19b_sex_apoe_kda_combo_v2_loci	CFL1	ENSG00000172757	protein_coding	11	65823022	65862026	-	64823022	66862026	GRCh38
phase19b_sex_apoe_kda_combo_v2_loci	CHGA	ENSG00000100604	protein_coding	14	92923150	92935285	+	91923150	93935285	GRCh38
phase19b_sex_apoe_kda_combo_v2_loci	CHID1	ENSG00000177830	protein_coding	11	867859	915058	-	0	1915058	GRCh38
phase19b_sex_apoe_kda_combo_v2_loci	CHORDC1	ENSG00000110172	protein_coding	11	90200429	90223077	-	89200429	91223077	GRCh38
phase19b_sex_apoe_kda_combo_v2_loci	CLVS1	ENSG00000177182	protein_coding	8	61057158	61501645	+	60057158	62501645	GRCh38
phase19b_sex_apoe_kda_combo_v2_loci	CORO6	ENSG00000167549	protein_coding	17	29614756	29622912	-	28614756	30622912	GRCh38
phase19b_sex_apoe_kda_combo_v2_loci	CRYL1	ENSG00000165475	protein_coding	13	20403666	20525873	-	19403666	21525873	GRCh38
phase19b_sex_apoe_kda_combo_v2_loci	CTNND2	ENSG00000169862	protein_coding	5	10971836	11904446	-	9971836	12904446	GRCh38
phase19b_sex_apoe_kda_combo_v2_loci	CUTA	ENSG00000112514	protein_coding	6	33416442	33418317	-	32416442	34418317	GRCh38
phase19b_sex_apoe_kda_combo_v2_loci	DEF8	ENSG00000140995	protein_coding	16	89948697	89968060	+	88948697	90968060	GRCh38
phase19b_sex_apoe_kda_combo_v2_loci	DNAJB1	ENSG00000132002	protein_coding	19	14514769	14560391	-	13514769	15560391	GRCh38
phase19b_sex_apoe_kda_combo_v2_loci	DNMT3A	ENSG00000119772	protein_coding	2	25227855	25342590	-	24227855	26342590	GRCh38
phase19b_sex_apoe_kda_combo_v2_loci	DUBR	ENSG00000243701	lncRNA	3	107220744	107348464	+	106220744	108348464	GRCh38
phase19b_sex_apoe_kda_combo_v2_loci	DYNLL1	ENSG00000088986	protein_coding	12	120469850	120498493	+	119469850	121498493	GRCh38
phase19b_sex_apoe_kda_combo_v2_loci	DYNLT1	ENSG00000146425	protein_coding	6	158636474	158644743	-	157636474	159644743	GRCh38
phase19b_sex_apoe_kda_combo_v2_loci	DZIP1	ENSG00000134874	protein_coding	13	95578202	95644706	-	94578202	96644706	GRCh38
phase19b_sex_apoe_kda_combo_v2_loci	EDF1	ENSG00000107223	protein_coding	9	136862119	136866308	-	135862119	137866308	GRCh38
phase19b_sex_apoe_kda_combo_v2_loci	EIF1	ENSG00000173812	protein_coding	17	41688885	41692668	+	40688885	42692668	GRCh38
phase19b_sex_apoe_kda_combo_v2_loci	EIF1B	ENSG00000114784	protein_coding	3	40309707	40312424	+	39309707	41312424	GRCh38
phase19b_sex_apoe_kda_combo_v2_loci	EIF3K	ENSG00000178982	protein_coding	19	38619082	38636955	+	37619082	39636955	GRCh38
phase19b_sex_apoe_kda_combo_v2_loci	EIF4A2	ENSG00000156976	protein_coding	3	186783205	186789897	+	185783205	187789897	GRCh38
phase19b_sex_apoe_kda_combo_v2_loci	ELOB	ENSG00000103363	protein_coding	16	2771414	2777289	-	1771414	3777289	GRCh38
phase19b_sex_apoe_kda_combo_v2_loci	EPHA7	ENSG00000135333	protein_coding	6	93240020	93419687	-	92240020	94419687	GRCh38
phase19b_sex_apoe_kda_combo_v2_loci	ERBIN	ENSG00000112851	protein_coding	5	65883128	66082546	+	64883128	67082546	GRCh38
phase19b_sex_apoe_kda_combo_v2_loci	ERP29	ENSG00000089248	protein_coding	12	112013348	112023449	+	111013348	113023449	GRCh38
phase19b_sex_apoe_kda_combo_v2_loci	EVA1C	ENSG00000166979	protein_coding	21	32412006	32515397	+	31412006	33515397	GRCh38
phase19b_sex_apoe_kda_combo_v2_loci	EXOC7	ENSG00000182473	protein_coding	17	76081016	76121576	-	75081016	77121576	GRCh38
phase19b_sex_apoe_kda_combo_v2_loci	FAU	ENSG00000149806	protein_coding	11	65120630	65122177	-	64120630	66122177	GRCh38
phase19b_sex_apoe_kda_combo_v2_loci	FBF1	ENSG00000188878	protein_coding	17	75909574	75941140	-	74909574	76941140	GRCh38
phase19b_sex_apoe_kda_combo_v2_loci	FBXW4	ENSG00000107829	protein_coding	10	101610664	101695295	-	100610664	102695295	GRCh38
phase19b_sex_apoe_kda_combo_v2_loci	FGFR2	ENSG00000066468	protein_coding	10	121478332	121598458	-	120478332	122598458	GRCh38
phase19b_sex_apoe_kda_combo_v2_loci	FN3K	ENSG00000167363	protein_coding	17	82735615	82751196	+	81735615	83751196	GRCh38
phase19b_sex_apoe_kda_combo_v2_loci	FNDC3B	ENSG00000075420	protein_coding	3	172039578	172401669	+	171039578	173401669	GRCh38
phase19b_sex_apoe_kda_combo_v2_loci	FTL	ENSG00000087086	protein_coding	19	48965309	48966879	+	47965309	49966879	GRCh38
phase19b_sex_apoe_kda_combo_v2_loci	GABARAPL2	ENSG00000034713	protein_coding	16	75566375	75577881	+	74566375	76577881	GRCh38
phase19b_sex_apoe_kda_combo_v2_loci	GABPB2	ENSG00000143458	protein_coding	1	151070578	151125542	+	150070578	152125542	GRCh38
phase19b_sex_apoe_kda_combo_v2_loci	GABRA1	ENSG00000022355	protein_coding	5	161847063	161899981	+	160847063	162899981	GRCh38
phase19b_sex_apoe_kda_combo_v2_loci	GALNT2	ENSG00000143641	protein_coding	1	230057990	230282122	+	229057990	231282122	GRCh38
phase19b_sex_apoe_kda_combo_v2_loci	GAPDH	ENSG00000111640	protein_coding	12	6534512	6538374	+	5534512	7538374	GRCh38
phase19b_sex_apoe_kda_combo_v2_loci	GATAD1	ENSG00000157259	protein_coding	7	92447482	92460075	+	91447482	93460075	GRCh38
phase19b_sex_apoe_kda_combo_v2_loci	GCLM	ENSG00000023909	protein_coding	1	93885199	93909456	-	92885199	94909456	GRCh38
phase19b_sex_apoe_kda_combo_v2_loci	GGH	ENSG00000137563	protein_coding	8	63014881	63039407	-	62014881	64039407	GRCh38
phase19b_sex_apoe_kda_combo_v2_loci	GNG3	ENSG00000162188	protein_coding	11	62707676	62709201	+	61707676	63709201	GRCh38
phase19b_sex_apoe_kda_combo_v2_loci	GREB1	ENSG00000196208	protein_coding	2	11482341	11642788	+	10482341	12642788	GRCh38
phase19b_sex_apoe_kda_combo_v2_loci	GRINA	ENSG00000178719	protein_coding	8	143990056	143993415	+	142990056	144993415	GRCh38
phase19b_sex_apoe_kda_combo_v2_loci	GSTP1	ENSG00000084207	protein_coding	11	67583742	67586656	+	66583742	68586656	GRCh38
phase19b_sex_apoe_kda_combo_v2_loci	GTF2A1	ENSG00000165417	protein_coding	14	81175452	81221377	-	80175452	82221377	GRCh38
phase19b_sex_apoe_kda_combo_v2_loci	HOOK2	ENSG00000095066	protein_coding	19	12763003	12872740	-	11763003	13872740	GRCh38
phase19b_sex_apoe_kda_combo_v2_loci	HSP90AB1	ENSG00000096384	protein_coding	6	44246166	44253888	+	43246166	45253888	GRCh38
phase19b_sex_apoe_kda_combo_v2_loci	HSPA13	ENSG00000155304	protein_coding	21	14371115	14383484	-	13371115	15383484	GRCh38
phase19b_sex_apoe_kda_combo_v2_loci	HSPA1A	ENSG00000204389	protein_coding	6	31815543	31817946	+	30815543	32817946	GRCh38
phase19b_sex_apoe_kda_combo_v2_loci	HSPH1	ENSG00000120694	protein_coding	13	31134973	31162388	-	30134973	32162388	GRCh38
phase19b_sex_apoe_kda_combo_v2_loci	ID2	ENSG00000115738	protein_coding	2	8678845	8684461	+	7678845	9684461	GRCh38
phase19b_sex_apoe_kda_combo_v2_loci	IGF1R	ENSG00000140443	protein_coding	15	98648539	98964530	+	97648539	99964530	GRCh38
phase19b_sex_apoe_kda_combo_v2_loci	IKZF4	ENSG00000123411	protein_coding	12	56007659	56038435	+	55007659	57038435	GRCh38
phase19b_sex_apoe_kda_combo_v2_loci	INTS8	ENSG00000164941	protein_coding	8	94813311	94881746	+	93813311	95881746	GRCh38
phase19b_sex_apoe_kda_combo_v2_loci	IRAK1BP1	ENSG00000146243	protein_coding	6	78867551	78946440	+	77867551	79946440	GRCh38
phase19b_sex_apoe_kda_combo_v2_loci	IRAK2	ENSG00000134070	protein_coding	3	10164919	10243745	+	9164919	11243745	GRCh38
phase19b_sex_apoe_kda_combo_v2_loci	JAKMIP3	ENSG00000188385	protein_coding	10	132036336	132184858	+	131036336	133184858	GRCh38
phase19b_sex_apoe_kda_combo_v2_loci	KATNBL1	ENSG00000134152	protein_coding	15	34140674	34210096	-	33140674	35210096	GRCh38
phase19b_sex_apoe_kda_combo_v2_loci	KTN1	ENSG00000126777	protein_coding	14	55559072	55701526	+	54559072	56701526	GRCh38
phase19b_sex_apoe_kda_combo_v2_loci	LAGE3	ENSG00000196976	protein_coding	X	154477775	154479281	-	153477775	155479281	GRCh38
phase19b_sex_apoe_kda_combo_v2_loci	LAMTOR5	ENSG00000134248	protein_coding	1	110401249	110407942	-	109401249	111407942	GRCh38
phase19b_sex_apoe_kda_combo_v2_loci	LAPTM4A	ENSG00000068697	protein_coding	2	20032650	20051628	-	19032650	21051628	GRCh38
phase19b_sex_apoe_kda_combo_v2_loci	LRP1B	ENSG00000168702	protein_coding	2	140231423	142131016	-	139231423	143131016	GRCh38
phase19b_sex_apoe_kda_combo_v2_loci	LUZP2	ENSG00000187398	protein_coding	11	24496970	25082638	+	23496970	26082638	GRCh38
phase19b_sex_apoe_kda_combo_v2_loci	MAGEF1	ENSG00000177383	protein_coding	3	184710364	184712064	-	183710364	185712064	GRCh38
phase19b_sex_apoe_kda_combo_v2_loci	MAP1LC3A	ENSG00000101460	protein_coding	20	34546854	34560345	+	33546854	35560345	GRCh38
phase19b_sex_apoe_kda_combo_v2_loci	MAP1LC3B	ENSG00000140941	protein_coding	16	87383953	87404779	+	86383953	88404779	GRCh38
phase19b_sex_apoe_kda_combo_v2_loci	MAPKAPK5-AS1	ENSG00000234608	lncRNA	12	111839758	111842902	-	110839758	112842902	GRCh38
phase19b_sex_apoe_kda_combo_v2_loci	MBNL1	ENSG00000152601	protein_coding	3	152243828	152465780	+	151243828	153465780	GRCh38
phase19b_sex_apoe_kda_combo_v2_loci	MDH1	ENSG00000014641	protein_coding	2	63588609	63607197	+	62588609	64607197	GRCh38
phase19b_sex_apoe_kda_combo_v2_loci	MEIS2	ENSG00000134138	protein_coding	15	36889204	37101299	-	35889204	38101299	GRCh38
phase19b_sex_apoe_kda_combo_v2_loci	METTL21A	ENSG00000144401	protein_coding	2	207580631	207625928	-	206580631	208625928	GRCh38
phase19b_sex_apoe_kda_combo_v2_loci	MIPOL1	ENSG00000151338	protein_coding	14	37197894	37579125	+	36197894	38579125	GRCh38
phase19b_sex_apoe_kda_combo_v2_loci	MKLN1	ENSG00000128585	protein_coding	7	131110096	131496632	+	130110096	132496632	GRCh38
phase19b_sex_apoe_kda_combo_v2_loci	MOAP1	ENSG00000165943	protein_coding	14	93182199	93184923	-	92182199	94184923	GRCh38
phase19b_sex_apoe_kda_combo_v2_loci	MSMO1	ENSG00000052802	protein_coding	4	165327667	165343164	+	164327667	166343164	GRCh38
phase19b_sex_apoe_kda_combo_v2_loci	MT3	ENSG00000087250	protein_coding	16	56589074	56591088	+	55589074	57591088	GRCh38
phase19b_sex_apoe_kda_combo_v2_loci	MTSS1	ENSG00000170873	protein_coding	8	124550784	124728473	-	123550784	125728473	GRCh38
phase19b_sex_apoe_kda_combo_v2_loci	MYO18A	ENSG00000196535	protein_coding	17	29071122	29180398	-	28071122	30180398	GRCh38
phase19b_sex_apoe_kda_combo_v2_loci	MYO9A	ENSG00000066933	protein_coding	15	71822291	72118577	-	70822291	73118577	GRCh38
phase19b_sex_apoe_kda_combo_v2_loci	NAB2	ENSG00000166886	protein_coding	12	57089043	57095476	+	56089043	58095476	GRCh38
phase19b_sex_apoe_kda_combo_v2_loci	NAP1L5	ENSG00000177432	protein_coding	4	88695913	88697829	-	87695913	89697829	GRCh38
phase19b_sex_apoe_kda_combo_v2_loci	NCOA1	ENSG00000084676	protein_coding	2	24491254	24770702	+	23491254	25770702	GRCh38
phase19b_sex_apoe_kda_combo_v2_loci	NECAP1	ENSG00000089818	protein_coding	12	8076939	8097881	+	7076939	9097881	GRCh38
phase19b_sex_apoe_kda_combo_v2_loci	NHP2	ENSG00000145912	protein_coding	5	178149463	178153894	-	177149463	179153894	GRCh38
phase19b_sex_apoe_kda_combo_v2_loci	NOXA1	ENSG00000188747	protein_coding	9	137423350	137434406	+	136423350	138434406	GRCh38
phase19b_sex_apoe_kda_combo_v2_loci	NRBP2	ENSG00000185189	protein_coding	8	143833583	143840973	-	142833583	144840973	GRCh38
phase19b_sex_apoe_kda_combo_v2_loci	OGA	ENSG00000198408	protein_coding	10	101784443	101818465	-	100784443	102818465	GRCh38
phase19b_sex_apoe_kda_combo_v2_loci	OST4	ENSG00000228474	protein_coding	2	27070472	27071654	-	26070472	28071654	GRCh38
phase19b_sex_apoe_kda_combo_v2_loci	PAPOLA	ENSG00000090060	protein_coding	14	96501433	96567116	+	95501433	97567116	GRCh38
phase19b_sex_apoe_kda_combo_v2_loci	PCBP4	ENSG00000090097	protein_coding	3	51957454	51974016	-	50957454	52974016	GRCh38
phase19b_sex_apoe_kda_combo_v2_loci	PDE5A	ENSG00000138735	protein_coding	4	119494397	119628804	-	118494397	120628804	GRCh38
phase19b_sex_apoe_kda_combo_v2_loci	PDS5B	ENSG00000083642	protein_coding	13	32586452	32778019	+	31586452	33778019	GRCh38
phase19b_sex_apoe_kda_combo_v2_loci	PER3	ENSG00000049246	protein_coding	1	7784291	7845177	+	6784291	8845177	GRCh38
phase19b_sex_apoe_kda_combo_v2_loci	PGAM1	ENSG00000171314	protein_coding	10	97426191	97433444	+	96426191	98433444	GRCh38
phase19b_sex_apoe_kda_combo_v2_loci	PGK1	ENSG00000102144	protein_coding	X	77910739	78129295	+	76910739	79129295	GRCh38
phase19b_sex_apoe_kda_combo_v2_loci	PHF11	ENSG00000136147	protein_coding	13	49495610	49528981	+	48495610	50528981	GRCh38
phase19b_sex_apoe_kda_combo_v2_loci	PHF3	ENSG00000118482	protein_coding	6	63635802	63779336	+	62635802	64779336	GRCh38
phase19b_sex_apoe_kda_combo_v2_loci	PHTF2	ENSG00000006576	protein_coding	7	77798773	77957503	+	76798773	78957503	GRCh38
phase19b_sex_apoe_kda_combo_v2_loci	PLCG2	ENSG00000197943	protein_coding	16	81779279	81962685	+	80779279	82962685	GRCh38
phase19b_sex_apoe_kda_combo_v2_loci	POLR2K	ENSG00000147669	protein_coding	8	100150623	100154003	+	99150623	101154003	GRCh38
phase19b_sex_apoe_kda_combo_v2_loci	PPP4R4	ENSG00000119698	protein_coding	14	94146128	94279734	+	93146128	95279734	GRCh38
phase19b_sex_apoe_kda_combo_v2_loci	PRDX1	ENSG00000117450	protein_coding	1	45510914	45542732	-	44510914	46542732	GRCh38
phase19b_sex_apoe_kda_combo_v2_loci	PSMB6	ENSG00000142507	protein_coding	17	4796144	4798502	+	3796144	5798502	GRCh38
phase19b_sex_apoe_kda_combo_v2_loci	PTGES3	ENSG00000110958	protein_coding	12	56663341	56688408	-	55663341	57688408	GRCh38
phase19b_sex_apoe_kda_combo_v2_loci	PTMA	ENSG00000187514	protein_coding	2	231706895	231713551	+	230706895	232713551	GRCh38
phase19b_sex_apoe_kda_combo_v2_loci	RAB6B	ENSG00000154917	protein_coding	3	133824235	133895882	-	132824235	134895882	GRCh38
phase19b_sex_apoe_kda_combo_v2_loci	RABAC1	ENSG00000105404	protein_coding	19	41956681	41959321	-	40956681	42959321	GRCh38
phase19b_sex_apoe_kda_combo_v2_loci	RAN	ENSG00000132341	protein_coding	12	130872037	130877678	+	129872037	131877678	GRCh38
phase19b_sex_apoe_kda_combo_v2_loci	RBM22	ENSG00000086589	protein_coding	5	150690792	150701077	-	149690792	151701077	GRCh38
phase19b_sex_apoe_kda_combo_v2_loci	RFLNA	ENSG00000178882	protein_coding	12	123973241	124316024	+	122973241	125316024	GRCh38
phase19b_sex_apoe_kda_combo_v2_loci	RGS11	ENSG00000076344	protein_coding	16	268301	275980	-	0	1275980	GRCh38
phase19b_sex_apoe_kda_combo_v2_loci	RNF7	ENSG00000114125	protein_coding	3	141738249	141747560	+	140738249	142747560	GRCh38
phase19b_sex_apoe_kda_combo_v2_loci	RPL11	ENSG00000142676	protein_coding	1	23691742	23696835	+	22691742	24696835	GRCh38
phase19b_sex_apoe_kda_combo_v2_loci	RPL15	ENSG00000174748	protein_coding	3	23916591	23924374	+	22916591	24924374	GRCh38
phase19b_sex_apoe_kda_combo_v2_loci	RPL29	ENSG00000162244	protein_coding	3	51993522	51995895	-	50993522	52995895	GRCh38
phase19b_sex_apoe_kda_combo_v2_loci	RPL35A	ENSG00000182899	protein_coding	3	197950190	197956610	+	196950190	198956610	GRCh38
phase19b_sex_apoe_kda_combo_v2_loci	RPL36	ENSG00000130255	protein_coding	19	5674947	5691875	+	4674947	6691875	GRCh38
phase19b_sex_apoe_kda_combo_v2_loci	RPL36AL	ENSG00000165502	protein_coding	14	49618530	49620626	-	48618530	50620626	GRCh38
phase19b_sex_apoe_kda_combo_v2_loci	RPL38	ENSG00000172809	protein_coding	17	74203582	74210655	+	73203582	75210655	GRCh38
phase19b_sex_apoe_kda_combo_v2_loci	RPL6	ENSG00000089009	protein_coding	12	112405189	112418838	-	111405189	113418838	GRCh38
phase19b_sex_apoe_kda_combo_v2_loci	RPL7L1	ENSG00000146223	protein_coding	6	42879616	42889925	+	41879616	43889925	GRCh38
phase19b_sex_apoe_kda_combo_v2_loci	RPL8	ENSG00000161016	protein_coding	8	144789765	144792587	-	143789765	145792587	GRCh38
phase19b_sex_apoe_kda_combo_v2_loci	RPLP1	ENSG00000137818	protein_coding	15	69452814	69456205	+	68452814	70456205	GRCh38
phase19b_sex_apoe_kda_combo_v2_loci	RPLP2	ENSG00000177600	protein_coding	11	809965	812880	+	0	1812880	GRCh38
phase19b_sex_apoe_kda_combo_v2_loci	RPS11	ENSG00000142534	protein_coding	19	49496365	49499708	+	48496365	50499708	GRCh38
phase19b_sex_apoe_kda_combo_v2_loci	RPS13	ENSG00000110700	protein_coding	11	17074388	17077715	-	16074388	18077715	GRCh38
phase19b_sex_apoe_kda_combo_v2_loci	RPS15	ENSG00000115268	protein_coding	19	1438358	1440495	+	438358	2440495	GRCh38
phase19b_sex_apoe_kda_combo_v2_loci	RPS25	ENSG00000118181	protein_coding	11	119015712	119018691	-	118015712	120018691	GRCh38
phase19b_sex_apoe_kda_combo_v2_loci	RPS27A	ENSG00000143947	protein_coding	2	55231903	55235853	+	54231903	56235853	GRCh38
phase19b_sex_apoe_kda_combo_v2_loci	RPS4X	ENSG00000198034	protein_coding	X	72255679	72277248	-	71255679	73277248	GRCh38
phase19b_sex_apoe_kda_combo_v2_loci	RPS6	ENSG00000137154	protein_coding	9	19375715	19380236	-	18375715	20380236	GRCh38
phase19b_sex_apoe_kda_combo_v2_loci	RPS7	ENSG00000171863	protein_coding	2	3575260	3580920	+	2575260	4580920	GRCh38
phase19b_sex_apoe_kda_combo_v2_loci	RRAGA	ENSG00000155876	protein_coding	9	19049427	19051025	+	18049427	20051025	GRCh38
phase19b_sex_apoe_kda_combo_v2_loci	RXRA	ENSG00000186350	protein_coding	9	134317098	134440585	+	133317098	135440585	GRCh38
phase19b_sex_apoe_kda_combo_v2_loci	SAMD4B	ENSG00000179134	protein_coding	19	39342421	39385710	+	38342421	40385710	GRCh38
phase19b_sex_apoe_kda_combo_v2_loci	SAP18	ENSG00000150459	protein_coding	13	21140119	21149097	+	20140119	22149097	GRCh38
phase19b_sex_apoe_kda_combo_v2_loci	SARAF	ENSG00000133872	protein_coding	8	30063003	30083208	-	29063003	31083208	GRCh38
phase19b_sex_apoe_kda_combo_v2_loci	SAT2	ENSG00000141504	protein_coding	17	7626234	7627876	-	6626234	8627876	GRCh38
phase19b_sex_apoe_kda_combo_v2_loci	SBNO2	ENSG00000064932	protein_coding	19	1107637	1174268	-	107637	2174268	GRCh38
phase19b_sex_apoe_kda_combo_v2_loci	SCAMP1	ENSG00000085365	protein_coding	5	78360611	78480739	+	77360611	79480739	GRCh38
phase19b_sex_apoe_kda_combo_v2_loci	SELENBP1	ENSG00000143416	protein_coding	1	151364304	151372707	-	150364304	152372707	GRCh38
phase19b_sex_apoe_kda_combo_v2_loci	SELENOM	ENSG00000198832	protein_coding	22	31104772	31120069	-	30104772	32120069	GRCh38
phase19b_sex_apoe_kda_combo_v2_loci	SELENOW	ENSG00000178980	protein_coding	19	47778677	47784686	+	46778677	48784686	GRCh38
phase19b_sex_apoe_kda_combo_v2_loci	SEMA3B	ENSG00000012171	protein_coding	3	50267558	50277546	+	49267558	51277546	GRCh38
phase19b_sex_apoe_kda_combo_v2_loci	SHMT1	ENSG00000176974	protein_coding	17	18327860	18363563	-	17327860	19363563	GRCh38
phase19b_sex_apoe_kda_combo_v2_loci	SLC11A1	ENSG00000018280	protein_coding	2	218382029	218396894	+	217382029	219396894	GRCh38
phase19b_sex_apoe_kda_combo_v2_loci	SLC35D2	ENSG00000130958	protein_coding	9	96313444	96383711	-	95313444	97383711	GRCh38
phase19b_sex_apoe_kda_combo_v2_loci	SLMAP	ENSG00000163681	protein_coding	3	57755450	57930003	+	56755450	58930003	GRCh38
phase19b_sex_apoe_kda_combo_v2_loci	SMARCA1	ENSG00000102038	protein_coding	X	129446501	129523500	-	128446501	130523500	GRCh38
phase19b_sex_apoe_kda_combo_v2_loci	SNAP25-AS1	ENSG00000227906	lncRNA	20	10006381	10368831	-	9006381	11368831	GRCh38
phase19b_sex_apoe_kda_combo_v2_loci	SPATS2L	ENSG00000196141	protein_coding	2	200305881	200482264	+	199305881	201482264	GRCh38
phase19b_sex_apoe_kda_combo_v2_loci	SPCS1	ENSG00000114902	protein_coding	3	52704955	52711148	+	51704955	53711148	GRCh38
phase19b_sex_apoe_kda_combo_v2_loci	SRSF7	ENSG00000115875	protein_coding	2	38743599	38751494	-	37743599	39751494	GRCh38
phase19b_sex_apoe_kda_combo_v2_loci	SSR2	ENSG00000163479	protein_coding	1	156009048	156020951	-	155009048	157020951	GRCh38
phase19b_sex_apoe_kda_combo_v2_loci	STAT3	ENSG00000168610	protein_coding	17	42313324	42388540	-	41313324	43388540	GRCh38
phase19b_sex_apoe_kda_combo_v2_loci	STMN1	ENSG00000117632	protein_coding	1	25884181	25906991	-	24884181	26906991	GRCh38
phase19b_sex_apoe_kda_combo_v2_loci	SYN1	ENSG00000008056	protein_coding	X	47571901	47619857	-	46571901	48619857	GRCh38
phase19b_sex_apoe_kda_combo_v2_loci	TAP1	ENSG00000168394	protein_coding	6	32845209	32853816	-	31845209	33853816	GRCh38
