route_id	schema_version	candidate_id	gene	ensembl_gene_id	broad_network	case_id	case_label	qtl_type	chromosome	window_start	window_end	genome_build	comparison_id	source_dataset_id	source_study_id	source_context	context_match_level	gwas_min_p	gwas_lead_variant	gwas_signal_present	decision_frozen_before_qtl_result
T2R011	human_genetic_support_tier2_classical_coloc_recovery_v1	GS006	COX6B1	ENSG00000126267	Excitatory_neurons	mt_driver	MT driver	eQTL	19	34648323	36658782	GRCh38	REC-T2R011	QTD000569	QTS000032	neuron	lineage	3.932e-05	rs897764	FALSE	TRUE
T2R012	human_genetic_support_tier2_classical_coloc_recovery_v1	GS006	COX6B1	ENSG00000126267	Excitatory_neurons	mt_driver	MT driver	sQTL	19	34648323	36658782	GRCh38	REC-T2R012	QTD000573	QTS000032	neuron	lineage	3.932e-05	rs897764	FALSE	TRUE
T2R013	human_genetic_support_tier2_classical_coloc_recovery_v1	GS007	COX7C	ENSG00000127184	Astrocytes	mt_driver	MT driver	eQTL	5	85617928	87620962	GRCh38	REC-T2R013	QTD000579	QTS000034	neocortex	bulk_brain_fallback	8.579e-14	rs62375397	TRUE	TRUE
T2R014	human_genetic_support_tier2_classical_coloc_recovery_v1	GS007	COX7C	ENSG00000127184	Astrocytes	mt_driver	MT driver	sQTL	5	85617928	87620962	GRCh38	REC-T2R014	QTD000583	QTS000034	neocortex	bulk_brain_fallback	8.579e-14	rs62375397	TRUE	TRUE
T2R015	human_genetic_support_tier2_classical_coloc_recovery_v1	GS008	COX7C	ENSG00000127184	Inhibitory_neurons	mt_driver	MT driver	eQTL	5	85617928	87620962	GRCh38	REC-T2R015	QTD000569	QTS000032	neuron	lineage	8.579e-14	rs62375397	TRUE	TRUE
T2R016	human_genetic_support_tier2_classical_coloc_recovery_v1	GS008	COX7C	ENSG00000127184	Inhibitory_neurons	mt_driver	MT driver	sQTL	5	85617928	87620962	GRCh38	REC-T2R016	QTD000573	QTS000032	neuron	lineage	8.579e-14	rs62375397	TRUE	TRUE
T2R017	human_genetic_support_tier2_classical_coloc_recovery_v1	GS009	DYNLT1	ENSG00000146425	Excitatory_neurons	non_mt_driver	non-MT driver	eQTL	6	157636474	159644743	GRCh38	REC-T2R017	QTD000569	QTS000032	neuron	lineage	6.079e-05	rs149553014	FALSE	TRUE
T2R018	human_genetic_support_tier2_classical_coloc_recovery_v1	GS009	DYNLT1	ENSG00000146425	Excitatory_neurons	non_mt_driver	non-MT driver	sQTL	6	157636474	159644743	GRCh38	REC-T2R018	QTD000573	QTS000032	neuron	lineage	6.079e-05	rs149553014	FALSE	TRUE
T2R019	human_genetic_support_tier2_classical_coloc_recovery_v1	GS010	FTL	ENSG00000087086	OPCs	non_mt_driver	non-MT driver	eQTL	19	47965309	49966879	GRCh38	REC-T2R019	QTD000579	QTS000034	neocortex	bulk_brain_fallback	5.711e-06	rs8103552	FALSE	TRUE
T2R020	human_genetic_support_tier2_classical_coloc_recovery_v1	GS010	FTL	ENSG00000087086	OPCs	non_mt_driver	non-MT driver	sQTL	19	47965309	49966879	GRCh38	REC-T2R020	QTD000583	QTS000034	neocortex	bulk_brain_fallback	5.711e-06	rs8103552	FALSE	TRUE
T2R021	human_genetic_support_tier2_classical_coloc_recovery_v1	GS011	LAMTOR5	ENSG00000134248	Excitatory_neurons	non_mt_driver	non-MT driver	eQTL	1	109401249	111407942	GRCh38	REC-T2R021	QTD000569	QTS000032	neuron	lineage	6.605e-05	rs79406748	FALSE	TRUE
T2R022	human_genetic_support_tier2_classical_coloc_recovery_v1	GS011	LAMTOR5	ENSG00000134248	Excitatory_neurons	non_mt_driver	non-MT driver	sQTL	1	109401249	111407942	GRCh38	REC-T2R022	QTD000573	QTS000032	neuron	lineage	6.605e-05	rs79406748	FALSE	TRUE
T2R023	human_genetic_support_tier2_classical_coloc_recovery_v1	GS012	LAMTOR5	ENSG00000134248	Inhibitory_neurons	non_mt_driver	non-MT driver	eQTL	1	109401249	111407942	GRCh38	REC-T2R023	QTD000569	QTS000032	neuron	lineage	6.605e-05	rs79406748	FALSE	TRUE
T2R024	human_genetic_support_tier2_classical_coloc_recovery_v1	GS012	LAMTOR5	ENSG00000134248	Inhibitory_neurons	non_mt_driver	non-MT driver	sQTL	1	109401249	111407942	GRCh38	REC-T2R024	QTD000573	QTS000032	neuron	lineage	6.605e-05	rs79406748	FALSE	TRUE
T2R025	human_genetic_support_tier2_classical_coloc_recovery_v1	GS013	LAPTM4A	ENSG00000068697	Astrocytes	non_mt_driver	non-MT driver	eQTL	2	19032650	21051628	GRCh38	REC-T2R025	QTD000579	QTS000034	neocortex	bulk_brain_fallback	5.651e-06	rs10171699	FALSE	TRUE
T2R026	human_genetic_support_tier2_classical_coloc_recovery_v1	GS013	LAPTM4A	ENSG00000068697	Astrocytes	non_mt_driver	non-MT driver	sQTL	2	19032650	21051628	GRCh38	REC-T2R026	QTD000583	QTS000034	neocortex	bulk_brain_fallback	5.651e-06	rs10171699	FALSE	TRUE
T2R027	human_genetic_support_tier2_classical_coloc_recovery_v1	GS034	NCOA1	ENSG00000084676	OPCs	non_mt_driver	non-MT driver	eQTL	2	23491254	25770702	GRCh38	REC-T2R027	QTD000579	QTS000034	neocortex	bulk_brain_fallback	1.213e-05	rs185123021	FALSE	TRUE
T2R028	human_genetic_support_tier2_classical_coloc_recovery_v1	GS034	NCOA1	ENSG00000084676	OPCs	non_mt_driver	non-MT driver	sQTL	2	23491254	25770702	GRCh38	REC-T2R028	QTD000583	QTS000034	neocortex	bulk_brain_fallback	1.213e-05	rs185123021	FALSE	TRUE
T2R029	human_genetic_support_tier2_classical_coloc_recovery_v1	GS035	RPL11	ENSG00000142676	Astrocytes	non_mt_driver	non-MT driver	eQTL	1	22691742	24696835	GRCh38	REC-T2R029	QTD000579	QTS000034	neocortex	bulk_brain_fallback	8.157e-06	rs6695656	FALSE	TRUE
T2R030	human_genetic_support_tier2_classical_coloc_recovery_v1	GS035	RPL11	ENSG00000142676	Astrocytes	non_mt_driver	non-MT driver	sQTL	1	22691742	24696835	GRCh38	REC-T2R030	QTD000583	QTS000034	neocortex	bulk_brain_fallback	8.157e-06	rs6695656	FALSE	TRUE
T2R031	human_genetic_support_tier2_classical_coloc_recovery_v1	GS036	RPL11	ENSG00000142676	Excitatory_neurons	non_mt_driver	non-MT driver	eQTL	1	22691742	24696835	GRCh38	REC-T2R031	QTD000569	QTS000032	neuron	lineage	8.157e-06	rs6695656	FALSE	TRUE
T2R032	human_genetic_support_tier2_classical_coloc_recovery_v1	GS036	RPL11	ENSG00000142676	Excitatory_neurons	non_mt_driver	non-MT driver	sQTL	1	22691742	24696835	GRCh38	REC-T2R032	QTD000573	QTS000032	neuron	lineage	8.157e-06	rs6695656	FALSE	TRUE
T2R033	human_genetic_support_tier2_classical_coloc_recovery_v1	GS037	RPL11	ENSG00000142676	Microglia	non_mt_driver	non-MT driver	eQTL	1	22691742	24696835	GRCh38	REC-T2R033	QTD000559	QTS000031	microglia	exact	8.157e-06	rs6695656	FALSE	TRUE
T2R034	human_genetic_support_tier2_classical_coloc_recovery_v1	GS037	RPL11	ENSG00000142676	Microglia	non_mt_driver	non-MT driver	sQTL	1	22691742	24696835	GRCh38	REC-T2R034	QTD000563	QTS000031	microglia	exact	8.157e-06	rs6695656	FALSE	TRUE
T2R035	human_genetic_support_tier2_classical_coloc_recovery_v1	GS038	RPL11	ENSG00000142676	Oligodendrocytes	non_mt_driver	non-MT driver	eQTL	1	22691742	24696835	GRCh38	REC-T2R035	QTD000579	QTS000034	neocortex	bulk_brain_fallback	8.157e-06	rs6695656	FALSE	TRUE
T2R036	human_genetic_support_tier2_classical_coloc_recovery_v1	GS038	RPL11	ENSG00000142676	Oligodendrocytes	non_mt_driver	non-MT driver	sQTL	1	22691742	24696835	GRCh38	REC-T2R036	QTD000583	QTS000034	neocortex	bulk_brain_fallback	8.157e-06	rs6695656	FALSE	TRUE
T2R037	human_genetic_support_tier2_classical_coloc_recovery_v1	GS039	RPL15	ENSG00000174748	Astrocytes	non_mt_driver	non-MT driver	eQTL	3	22916591	24924374	GRCh38	REC-T2R037	QTD000579	QTS000034	neocortex	bulk_brain_fallback	2.677e-05	rs545795382	FALSE	TRUE
T2R038	human_genetic_support_tier2_classical_coloc_recovery_v1	GS039	RPL15	ENSG00000174748	Astrocytes	non_mt_driver	non-MT driver	sQTL	3	22916591	24924374	GRCh38	REC-T2R038	QTD000583	QTS000034	neocortex	bulk_brain_fallback	2.677e-05	rs545795382	FALSE	TRUE
T2R039	human_genetic_support_tier2_classical_coloc_recovery_v1	GS040	RPL38	ENSG00000172809	Inhibitory_neurons	non_mt_driver	non-MT driver	eQTL	17	73203582	75210655	GRCh38	REC-T2R039	QTD000569	QTS000032	neuron	lineage	1.05e-05	rs62064069	FALSE	TRUE
T2R040	human_genetic_support_tier2_classical_coloc_recovery_v1	GS040	RPL38	ENSG00000172809	Inhibitory_neurons	non_mt_driver	non-MT driver	sQTL	17	73203582	75210655	GRCh38	REC-T2R040	QTD000573	QTS000032	neuron	lineage	1.05e-05	rs62064069	FALSE	TRUE
T2R041	human_genetic_support_tier2_classical_coloc_recovery_v1	GS041	RPLP1	ENSG00000137818	Astrocytes	non_mt_driver	non-MT driver	eQTL	15	68452814	70456205	GRCh38	REC-T2R041	QTD000579	QTS000034	neocortex	bulk_brain_fallback	0.0002931	rs139314934	FALSE	TRUE
T2R042	human_genetic_support_tier2_classical_coloc_recovery_v1	GS041	RPLP1	ENSG00000137818	Astrocytes	non_mt_driver	non-MT driver	sQTL	15	68452814	70456205	GRCh38	REC-T2R042	QTD000583	QTS000034	neocortex	bulk_brain_fallback	0.0002931	rs139314934	FALSE	TRUE
T2R043	human_genetic_support_tier2_classical_coloc_recovery_v1	GS042	RPLP1	ENSG00000137818	Inhibitory_neurons	non_mt_driver	non-MT driver	eQTL	15	68452814	70456205	GRCh38	REC-T2R043	QTD000569	QTS000032	neuron	lineage	0.0002931	rs139314934	FALSE	TRUE
T2R044	human_genetic_support_tier2_classical_coloc_recovery_v1	GS042	RPLP1	ENSG00000137818	Inhibitory_neurons	non_mt_driver	non-MT driver	sQTL	15	68452814	70456205	GRCh38	REC-T2R044	QTD000573	QTS000032	neuron	lineage	0.0002931	rs139314934	FALSE	TRUE
T2R045	human_genetic_support_tier2_classical_coloc_recovery_v1	GS043	RPS13	ENSG00000110700	Excitatory_neurons	non_mt_driver	non-MT driver	eQTL	11	16074388	18077715	GRCh38	REC-T2R045	QTD000569	QTS000032	neuron	lineage	8.997e-05	rs11605342	FALSE	TRUE
T2R046	human_genetic_support_tier2_classical_coloc_recovery_v1	GS043	RPS13	ENSG00000110700	Excitatory_neurons	non_mt_driver	non-MT driver	sQTL	11	16074388	18077715	GRCh38	REC-T2R046	QTD000573	QTS000032	neuron	lineage	8.997e-05	rs11605342	FALSE	TRUE
T2R047	human_genetic_support_tier2_classical_coloc_recovery_v1	GS044	RPS15	ENSG00000115268	Inhibitory_neurons	non_mt_driver	non-MT driver	eQTL	19	438358	2440495	GRCh38	REC-T2R047	QTD000569	QTS000032	neuron	lineage	4.089e-30	rs12151021	TRUE	TRUE
T2R048	human_genetic_support_tier2_classical_coloc_recovery_v1	GS044	RPS15	ENSG00000115268	Inhibitory_neurons	non_mt_driver	non-MT driver	sQTL	19	438358	2440495	GRCh38	REC-T2R048	QTD000573	QTS000032	neuron	lineage	4.089e-30	rs12151021	TRUE	TRUE
T2R049	human_genetic_support_tier2_classical_coloc_recovery_v1	GS045	RPS15	ENSG00000115268	OPCs	non_mt_driver	non-MT driver	eQTL	19	438358	2440495	GRCh38	REC-T2R049	QTD000579	QTS000034	neocortex	bulk_brain_fallback	4.089e-30	rs12151021	TRUE	TRUE
T2R050	human_genetic_support_tier2_classical_coloc_recovery_v1	GS045	RPS15	ENSG00000115268	OPCs	non_mt_driver	non-MT driver	sQTL	19	438358	2440495	GRCh38	REC-T2R050	QTD000583	QTS000034	neocortex	bulk_brain_fallback	4.089e-30	rs12151021	TRUE	TRUE
T2R051	human_genetic_support_tier2_classical_coloc_recovery_v1	GS046	SELENOW	ENSG00000178980	Excitatory_neurons	non_mt_driver	non-MT driver	eQTL	19	46778677	48784686	GRCh38	REC-T2R051	QTD000569	QTS000032	neuron	lineage	6.41e-05	rs17206581	FALSE	TRUE
T2R052	human_genetic_support_tier2_classical_coloc_recovery_v1	GS046	SELENOW	ENSG00000178980	Excitatory_neurons	non_mt_driver	non-MT driver	sQTL	19	46778677	48784686	GRCh38	REC-T2R052	QTD000573	QTS000032	neuron	lineage	6.41e-05	rs17206581	FALSE	TRUE
T2R053	human_genetic_support_tier2_classical_coloc_recovery_v1	GS047	UQCR10	ENSG00000184076	Excitatory_neurons	mt_driver	MT driver	eQTL	22	28767369	30770413	GRCh38	REC-T2R053	QTD000569	QTS000032	neuron	lineage	1.248e-05	rs145834560	FALSE	TRUE
T2R054	human_genetic_support_tier2_classical_coloc_recovery_v1	GS047	UQCR10	ENSG00000184076	Excitatory_neurons	mt_driver	MT driver	sQTL	22	28767369	30770413	GRCh38	REC-T2R054	QTD000573	QTS000032	neuron	lineage	1.248e-05	rs145834560	FALSE	TRUE
