schema_version	trait	gene	ensembl_gene_id	chromosome	window_start	window_end	variant_rows	regional_min_p	regional_lead_variant	genome_wide_significant	priority_tier
phase19b_simple_aggr_v1_regional	clinical_ad_bellenguez2022	ARSG	ENSG00000141337	17	67259182	69422731	15984	2.088e-05	rs34987539	False	P3
phase19b_simple_aggr_v1_regional	clinical_ad_bellenguez2022	ASPSCR1	ENSG00000169696	17	80976807	83017406	18965	4.565e-05	rs7212578	False	P3
phase19b_simple_aggr_v1_regional	clinical_ad_bellenguez2022	ATCAY	ENSG00000167654	19	2879864	4928082	18130	1.879e-05	rs1468297	False	P2
phase19b_simple_aggr_v1_regional	clinical_ad_bellenguez2022	ATG101	ENSG00000123395	12	51069246	53077495	15008	8.471e-06	rs11350640	False	P2
phase19b_simple_aggr_v1_regional	clinical_ad_bellenguez2022	ATP6AP2	ENSG00000182220	X	39579372	41606848	0	NA		False	P2
phase19b_simple_aggr_v1_regional	clinical_ad_bellenguez2022	ATP6V0B	ENSG00000117410	1	42974487	44978295	13698	8.868e-06	rs78861936	False	P2
phase19b_simple_aggr_v1_regional	clinical_ad_bellenguez2022	ATP6V1F	ENSG00000128524	7	127862856	129865847	14139	4e-05	rs192046862	False	P2
phase19b_simple_aggr_v1_regional	clinical_ad_bellenguez2022	ATP6V1G1	ENSG00000136888	9	113587706	115598915	16491	6.421e-05	rs147283022	False	P2
phase19b_simple_aggr_v1_regional	clinical_ad_bellenguez2022	AUP1	ENSG00000115307	2	73526645	75529760	14021	5.918e-05	rs6743843	False	P3
phase19b_simple_aggr_v1_regional	clinical_ad_bellenguez2022	AVL9	ENSG00000105778	7	31495426	33588726	17017	8.595e-05	rs6944738	False	P3
phase19b_simple_aggr_v1_regional	clinical_ad_bellenguez2022	B2M	ENSG00000166710	15	43711358	45718851	11667	0.0007227	rs1011583813	False	P2
phase19b_simple_aggr_v1_regional	clinical_ad_bellenguez2022	B3GALNT1	ENSG00000169255	3	160083883	162105411	15122	0.0004567	rs557914033	False	P1
phase19b_simple_aggr_v1_regional	clinical_ad_bellenguez2022	B3GAT3	ENSG00000149541	11	61615296	63622154	15027	0.0001763	rs199690331	False	P2
phase19b_simple_aggr_v1_regional	clinical_ad_bellenguez2022	B9D1	ENSG00000108641	17	18334308	20378193	10200	0.000281	rs80212717	False	P3
phase19b_simple_aggr_v1_regional	clinical_ad_bellenguez2022	BABAM2	ENSG00000158019	2	26889941	29338901	15832	9.059e-05	rs180949310	False	P1
phase19b_simple_aggr_v1_regional	clinical_ad_bellenguez2022	BAIAP2L1	ENSG00000006453	7	97291650	99401090	15881	0.0002196	rs13236076	False	P3
phase19b_simple_aggr_v1_regional	clinical_ad_bellenguez2022	BANF1	ENSG00000175334	11	65002228	67004149	12508	1.468e-05	rs77779142	False	P3
phase19b_simple_aggr_v1_regional	clinical_ad_bellenguez2022	BCL6	ENSG00000113916	3	186721377	188745725	16071	0.0003377	rs183406143	False	P2
phase19b_simple_aggr_v1_regional	clinical_ad_bellenguez2022	BEX1	ENSG00000133169	X	102062651	104064171	0	NA		False	P2
phase19b_simple_aggr_v1_regional	clinical_ad_bellenguez2022	BEX3	ENSG00000166681	X	102376395	104378164	0	NA		False	P1
phase19b_simple_aggr_v1_regional	clinical_ad_bellenguez2022	BEX4	ENSG00000102409	X	102215108	104217246	0	NA		False	P2
phase19b_simple_aggr_v1_regional	clinical_ad_bellenguez2022	BEX5	ENSG00000184515	X	101153708	103155977	0	NA		False	P2
phase19b_simple_aggr_v1_regional	clinical_ad_bellenguez2022	BICRAL	ENSG00000112624	6	41782052	43868558	14291	4.234e-05	rs111342015	False	P3
phase19b_simple_aggr_v1_regional	clinical_ad_bellenguez2022	BMPR2	ENSG00000204217	2	201376327	203567751	12668	1.237e-07	rs10932008	False	P3
phase19b_simple_aggr_v1_regional	clinical_ad_bellenguez2022	BRD1	ENSG00000100425	22	48773283	50827873	22001	0.0001505	rs186066172	False	P1
phase19b_simple_aggr_v1_regional	clinical_ad_bellenguez2022	BRK1	ENSG00000254999	3	9115675	11127190	15628	7.238e-05	rs182060897	False	P3
phase19b_simple_aggr_v1_regional	clinical_ad_bellenguez2022	BTF3	ENSG00000145741	5	72498408	74505667	15125	0.0001188	rs116526556	False	P2
phase19b_simple_aggr_v1_regional	clinical_ad_bellenguez2022	BUB3	ENSG00000154473	10	122154402	124170467	16873	2.605e-06	rs7072204	False	P3
phase19b_simple_aggr_v1_regional	clinical_ad_bellenguez2022	C11orf68	ENSG00000175573	11	64916810	66919062	12621	1.468e-05	rs77779142	False	P3
phase19b_simple_aggr_v1_regional	clinical_ad_bellenguez2022	C3orf70	ENSG00000187068	3	184076838	186153060	14471	1.169e-06	rs9837978	False	P3
phase19b_simple_aggr_v1_regional	clinical_ad_bellenguez2022	CACYBP	ENSG00000116161	1	173999163	176012027	15035	0.0001705	rs554723562	False	P3
phase19b_simple_aggr_v1_regional	clinical_ad_bellenguez2022	CADM1	ENSG00000182985	11	114169218	116504957	17719	1.758e-05	rs151011030	False	P2
phase19b_simple_aggr_v1_regional	clinical_ad_bellenguez2022	CAMK2N2	ENSG00000163888	3	183259213	185261553	15494	1.169e-06	rs9837978	False	P2
phase19b_simple_aggr_v1_regional	clinical_ad_bellenguez2022	CARNS1	ENSG00000172508	11	66414968	68425607	14409	5.013e-06	rs544897959	False	P3
phase19b_simple_aggr_v1_regional	clinical_ad_bellenguez2022	CASTOR2	ENSG00000274070	7	73964705	76031528	10043	4.553e-05	rs113149951	False	P3
phase19b_simple_aggr_v1_regional	clinical_ad_bellenguez2022	CCDC85B	ENSG00000175602	11	64890673	66891635	12665	1.468e-05	rs77779142	False	P2
phase19b_simple_aggr_v1_regional	clinical_ad_bellenguez2022	CCDC92	ENSG00000119242	12	122918660	124972831	16174	2.309e-06	rs78850541	False	P3
phase19b_simple_aggr_v1_regional	clinical_ad_bellenguez2022	CCNC	ENSG00000112237	6	98542387	100568825	14108	1.452e-05	rs568152084	False	P3
phase19b_simple_aggr_v1_regional	clinical_ad_bellenguez2022	CCND3	ENSG00000112576	6	40934934	43050357	16101	1.017e-27	rs187370608	True	P2
phase19b_simple_aggr_v1_regional	clinical_ad_bellenguez2022	CCSAP	ENSG00000154429	1	228321011	230343294	15582	4.209e-05	rs74144438	False	P3
phase19b_simple_aggr_v1_regional	clinical_ad_bellenguez2022	CCT3	ENSG00000163468	1	155308968	157367873	13291	6.692e-05	rs2735657	False	P3
phase19b_simple_aggr_v1_regional	clinical_ad_bellenguez2022	CD63	ENSG00000135404	12	54725323	56729707	14679	5.418e-05	rs147987378	False	P3
phase19b_simple_aggr_v1_regional	clinical_ad_bellenguez2022	CD81	ENSG00000110651	11	1376177	3397802	17735	3.655e-05	rs143513444	False	P3
phase19b_simple_aggr_v1_regional	clinical_ad_bellenguez2022	CDK5RAP3	ENSG00000108465	17	46967810	48981781	13269	4.855e-05	rs187500848	False	P3
phase19b_simple_aggr_v1_regional	clinical_ad_bellenguez2022	CEBPD	ENSG00000221869	8	46736913	48738164	12954	0.00295	rs72639072	False	P2
phase19b_simple_aggr_v1_regional	clinical_ad_bellenguez2022	CEBPG	ENSG00000153879	19	32373685	34382686	16911	4.409e-05	rs892024	False	P3
phase19b_simple_aggr_v1_regional	clinical_ad_bellenguez2022	CEP120	ENSG00000168944	5	122344890	124423592	16531	6.567e-05	rs568179840	False	P3
phase19b_simple_aggr_v1_regional	clinical_ad_bellenguez2022	CEP152	ENSG00000103995	15	47712928	49811146	11718	0.0005603	rs557323688	False	P3
phase19b_simple_aggr_v1_regional	clinical_ad_bellenguez2022	CEP57	ENSG00000166037	11	94789965	96832693	15591	0.0003106	rs560207184	False	P1
phase19b_simple_aggr_v1_regional	clinical_ad_bellenguez2022	CEP68	ENSG00000011523	2	64056354	66087004	15849	6.08e-06	rs6740462	False	P3
phase19b_simple_aggr_v1_regional	clinical_ad_bellenguez2022	CERS4	ENSG00000090661	19	7206736	9262421	18196	2.206e-05	rs978680781	False	P3
phase19b_simple_aggr_v1_regional	clinical_ad_bellenguez2022	CFL1	ENSG00000172757	11	64823022	66862026	12954	1.468e-05	rs77779142	False	P3
phase19b_simple_aggr_v1_regional	clinical_ad_bellenguez2022	CHD3	ENSG00000170004	17	6884796	8912760	15416	2.121e-07	rs58840546	False	P3
phase19b_simple_aggr_v1_regional	clinical_ad_bellenguez2022	CHORDC1	ENSG00000110172	11	89200429	91223077	13076	0.0001672	rs181003487	False	P2
phase19b_simple_aggr_v1_regional	clinical_ad_bellenguez2022	CKB	ENSG00000166165	14	102519667	104522833	16603	8.646e-05	rs28483843	False	P2
phase19b_simple_aggr_v1_regional	clinical_ad_bellenguez2022	CLCN4	ENSG00000073464	X	9156975	11237660	0	NA		False	P3
phase19b_simple_aggr_v1_regional	clinical_ad_bellenguez2022	CLMN	ENSG00000165959	14	94181940	96319908	19570	0.0002162	rs142458304	False	P2
phase19b_simple_aggr_v1_regional	clinical_ad_bellenguez2022	CLVS1	ENSG00000177182	8	60057158	62501645	19044	0.0001433	rs72650445	False	P2
phase19b_simple_aggr_v1_regional	clinical_ad_bellenguez2022	CNIH2	ENSG00000174871	11	65278175	67285301	12370	1.468e-05	rs77779142	False	P3
phase19b_simple_aggr_v1_regional	clinical_ad_bellenguez2022	CNTN1	ENSG00000018236	12	39692439	42072415	19845	0.0001252	rs537140422	False	P3
phase19b_simple_aggr_v1_regional	clinical_ad_bellenguez2022	CORO6	ENSG00000167549	17	28614756	30622912	11527	7.229e-06	rs188751687	False	P3
phase19b_simple_aggr_v1_regional	clinical_ad_bellenguez2022	CRLF3	ENSG00000176390	17	29769388	31824692	13646	2.785e-06	rs192565170	False	P3
phase19b_simple_aggr_v1_regional	clinical_ad_bellenguez2022	CRYL1	ENSG00000165475	13	19403666	21525873	17208	0.0001266	rs57874192	False	P3
phase19b_simple_aggr_v1_regional	clinical_ad_bellenguez2022	CSNK1E	ENSG00000213923	22	37290691	39318084	15880	7.404e-06	rs76070102	False	P3
phase19b_simple_aggr_v1_regional	clinical_ad_bellenguez2022	CSTB	ENSG00000160213	21	42772511	44776330	14598	3.796e-05	rs73231674	False	P2
phase19b_simple_aggr_v1_regional	clinical_ad_bellenguez2022	CSTF2	ENSG00000101811	X	99820391	101841520	0	NA		False	P1
phase19b_simple_aggr_v1_regional	clinical_ad_bellenguez2022	CTNND2	ENSG00000169862	5	9971836	12904446	23410	7.582e-05	rs541204575	False	P3
phase19b_simple_aggr_v1_regional	clinical_ad_bellenguez2022	CUTA	ENSG00000112514	6	32416442	34418317	24151	1.049e-17	rs6605556	True	P2
phase19b_simple_aggr_v1_regional	clinical_ad_bellenguez2022	CWC27	ENSG00000153015	5	63766368	66102412	16466	5.805e-05	rs10035130	False	P3
phase19b_simple_aggr_v1_regional	clinical_ad_bellenguez2022	CXXC1	ENSG00000154832	18	49282343	51287839	16412	9.909e-05	rs538477904	False	P3
phase19b_simple_aggr_v1_regional	clinical_ad_bellenguez2022	DAB2IP	ENSG00000136848	9	120567057	122785530	16467	0.0001428	rs528685054	False	P3
phase19b_simple_aggr_v1_regional	clinical_ad_bellenguez2022	DEF8	ENSG00000140995	16	88948697	90968060	11632	1.283e-11	rs56407236	True	P2
phase19b_simple_aggr_v1_regional	clinical_ad_bellenguez2022	DEXI	ENSG00000182108	16	9928891	11942468	19448	6.685e-05	rs142666031	False	P3
phase19b_simple_aggr_v1_regional	clinical_ad_bellenguez2022	DGKQ	ENSG00000145214	4	0	1986895	15852	5.036e-10	rs3822030	True	P3
phase19b_simple_aggr_v1_regional	clinical_ad_bellenguez2022	DHDDS	ENSG00000117682	1	25432282	27471306	13377	0.0001209	rs747591075	False	P1
phase19b_simple_aggr_v1_regional	clinical_ad_bellenguez2022	DHX33	ENSG00000005100	17	4440917	6468982	18817	6.585e-13	rs57402520	True	P3
phase19b_simple_aggr_v1_regional	clinical_ad_bellenguez2022	DIDO1	ENSG00000101191	20	61877738	63937952	20872	2.488e-06	rs6742	False	P1
phase19b_simple_aggr_v1_regional	clinical_ad_bellenguez2022	DIP2A	ENSG00000160305	21	45458891	47570015	11023	1.378e-05	rs141453527	False	P3
phase19b_simple_aggr_v1_regional	clinical_ad_bellenguez2022	DMTF1	ENSG00000135164	7	86152409	88196337	14292	0.00014	rs548601301	False	P1
phase19b_simple_aggr_v1_regional	clinical_ad_bellenguez2022	DNAJB1	ENSG00000132002	19	13514769	15560391	15473	8.403e-05	rs536386187	False	P2
phase19b_simple_aggr_v1_regional	clinical_ad_bellenguez2022	DRAP1	ENSG00000175550	11	64919274	66921563	12619	1.468e-05	rs77779142	False	P3
phase19b_simple_aggr_v1_regional	clinical_ad_bellenguez2022	DYNC1LI2	ENSG00000135720	16	65720893	67751609	13982	4.556e-05	rs116121472	False	P2
phase19b_simple_aggr_v1_regional	clinical_ad_bellenguez2022	DYNLL1	ENSG00000088986	12	119469850	121498493	14558	3.069e-05	rs7954961	False	P2
phase19b_simple_aggr_v1_regional	clinical_ad_bellenguez2022	DYNLT1	ENSG00000146425	6	157636474	159644743	16978	6.079e-05	rs149553014	False	P1
phase19b_simple_aggr_v1_regional	clinical_ad_bellenguez2022	DZIP1	ENSG00000134874	13	94578202	96644706	15748	5.245e-05	rs149658970	False	P2
phase19b_simple_aggr_v1_regional	clinical_ad_bellenguez2022	EDF1	ENSG00000107223	9	135862119	137866308	17408	3.713e-05	rs4979655	False	P2
phase19b_simple_aggr_v1_regional	clinical_ad_bellenguez2022	EFCAB7	ENSG00000203965	1	62523372	64572693	14681	1.533e-06	rs7517372	False	P3
phase19b_simple_aggr_v1_regional	clinical_ad_bellenguez2022	EIF1	ENSG00000173812	17	40688885	42692668	14502	3.947e-05	rs4796663	False	P2
phase19b_simple_aggr_v1_regional	clinical_ad_bellenguez2022	EIF1B	ENSG00000114784	3	39309707	41312424	14650	0.0003694	rs548945977	False	P2
phase19b_simple_aggr_v1_regional	clinical_ad_bellenguez2022	EIF3D	ENSG00000100353	22	35510855	37529184	17440	1.239e-05	rs539474234	False	P2
phase19b_simple_aggr_v1_regional	clinical_ad_bellenguez2022	EIF4A2	ENSG00000156976	3	185783205	187789897	15827	6.014e-05	rs149080590	False	P2
phase19b_simple_aggr_v1_regional	clinical_ad_bellenguez2022	ELOB	ENSG00000103363	16	1771414	3777289	16878	1.014e-06	rs181782815	False	P3
phase19b_simple_aggr_v1_regional	clinical_ad_bellenguez2022	ELP6	ENSG00000163832	3	46495640	48513712	11119	2.482e-05	rs74337160	False	P3
phase19b_simple_aggr_v1_regional	clinical_ad_bellenguez2022	EME2	ENSG00000197774	16	772810	2781708	18738	0.0001474	rs183882972	False	P3
phase19b_simple_aggr_v1_regional	clinical_ad_bellenguez2022	EML1	ENSG00000066629	14	98737693	100942060	17374	0.0001077	rs4905821	False	P2
phase19b_simple_aggr_v1_regional	clinical_ad_bellenguez2022	ERBIN	ENSG00000112851	5	64883128	67082546	16409	5.805e-05	rs10035130	False	P3
phase19b_simple_aggr_v1_regional	clinical_ad_bellenguez2022	ERC1	ENSG00000082805	12	0	2495933	20303	5.593e-05	rs34310582	False	P3
phase19b_simple_aggr_v1_regional	clinical_ad_bellenguez2022	ERH	ENSG00000100632	14	68380128	70398299	15440	4.534e-05	rs2757704	False	P2
phase19b_simple_aggr_v1_regional	clinical_ad_bellenguez2022	ERP29	ENSG00000089248	12	111013348	113023449	11058	0.0001313	rs117996564	False	P2
phase19b_simple_aggr_v1_regional	clinical_ad_bellenguez2022	EVA1C	ENSG00000166979	21	31412006	33515397	16587	5.728e-06	rs2834165	False	P1
phase19b_simple_aggr_v1_regional	clinical_ad_bellenguez2022	EXOC7	ENSG00000182473	17	75081016	77121576	17309	4.474e-06	rs62086316	False	P3
phase19b_simple_aggr_v1_regional	clinical_ad_bellenguez2022	FAM135A	ENSG00000082269	6	69412941	71561174	18342	0.0003397	rs72917973	False	P3
phase19b_simple_aggr_v1_regional	clinical_ad_bellenguez2022	FAM13A	ENSG00000138640	4	87725955	90111398	18170	1.563e-06	rs76554426	False	P2
phase19b_simple_aggr_v1_regional	clinical_ad_bellenguez2022	FAU	ENSG00000149806	11	64120630	66122177	13166	1.468e-05	rs77779142	False	P2
phase19b_simple_aggr_v1_regional	clinical_ad_bellenguez2022	FBLL1	ENSG00000188573	5	167529305	169530634	15960	1.602e-05	rs867318135	False	P3
phase19b_simple_aggr_v1_regional	clinical_ad_bellenguez2022	FBXL7	ENSG00000183580	5	14500180	16939795	18218	2.814e-07	rs6554856	False	P2
phase19b_simple_aggr_v1_regional	clinical_ad_bellenguez2022	FBXW4	ENSG00000107829	10	100610664	102695295	12900	6.359e-05	rs750866	False	P3
phase19b_simple_aggr_v1_regional	clinical_ad_bellenguez2022	FDFT1	ENSG00000079459	8	10795573	12839395	16029	5.462e-09	rs1065712	True	P3
phase19b_simple_aggr_v1_regional	clinical_ad_bellenguez2022	FGFR2	ENSG00000066468	10	120478332	122598458	17787	2.605e-06	rs7072204	False	P3
phase19b_simple_aggr_v1_regional	clinical_ad_bellenguez2022	FKBP5	ENSG00000096060	6	34573585	36728583	16559	9.614e-06	rs3736896	False	P3
phase19b_simple_aggr_v1_regional	clinical_ad_bellenguez2022	FNDC3B	ENSG00000075420	3	171039578	173401669	17399	6.843e-05	rs11715367	False	P3
phase19b_simple_aggr_v1_regional	clinical_ad_bellenguez2022	FRG1	ENSG00000109536	4	188940870	190963202	9077	0.0005265	rs10006011	False	P3
phase19b_simple_aggr_v1_regional	clinical_ad_bellenguez2022	FTL	ENSG00000087086	19	47965309	49966879	16549	5.711e-06	rs8103552	False	P2
phase19b_simple_aggr_v1_regional	clinical_ad_bellenguez2022	GABARAPL2	ENSG00000034713	16	74566375	76577881	19518	3.626e-06	rs72792709	False	P2
phase19b_simple_aggr_v1_regional	clinical_ad_bellenguez2022	GABPB2	ENSG00000143458	1	150070578	152125542	12607	0.0001536	rs146748985	False	P3
phase19b_simple_aggr_v1_regional	clinical_ad_bellenguez2022	GALNT2	ENSG00000143641	1	229057990	231282122	18202	4.209e-05	rs74144438	False	P3
phase19b_simple_aggr_v1_regional	clinical_ad_bellenguez2022	GAPDH	ENSG00000111640	12	5534512	7538374	15252	9.961e-07	rs3919533	False	P2
phase19b_simple_aggr_v1_regional	clinical_ad_bellenguez2022	GATAD1	ENSG00000157259	7	91447482	93460075	12022	0.0003703	rs528152508	False	P1
phase19b_simple_aggr_v1_regional	clinical_ad_bellenguez2022	GCLM	ENSG00000023909	1	92885199	94909456	14654	0.0003046	rs541136074	False	P3
phase19b_simple_aggr_v1_regional	clinical_ad_bellenguez2022	GGH	ENSG00000137563	8	62014881	64039407	15486	0.0001533	rs72656596	False	P3
phase19b_simple_aggr_v1_regional	clinical_ad_bellenguez2022	GINM1	ENSG00000055211	6	148566294	150591748	16701	0.0001004	rs796871	False	P2
phase19b_simple_aggr_v1_regional	clinical_ad_bellenguez2022	GNG3	ENSG00000162188	11	61707676	63709201	14826	8.335e-06	rs679365	False	P2
phase19b_simple_aggr_v1_regional	clinical_ad_bellenguez2022	GREB1	ENSG00000196208	2	10482341	12642788	18606	9.749e-05	rs10164900	False	P3
phase19b_simple_aggr_v1_regional	clinical_ad_bellenguez2022	GRINA	ENSG00000178719	8	142990056	144993415	14799	2.934e-12	rs34173062	True	P2
phase19b_simple_aggr_v1_regional	clinical_ad_bellenguez2022	GSTP1	ENSG00000084207	11	66583742	68586656	14453	5.013e-06	rs544897959	False	P2
phase19b_simple_aggr_v1_regional	clinical_ad_bellenguez2022	HDAC4	ENSG00000068024	2	238048168	240401654	22198	0.0001856	rs12619037	False	P2
phase19b_simple_aggr_v1_regional	clinical_ad_bellenguez2022	HGSNAT	ENSG00000165102	8	42140464	44202855	13458	0.0001819	rs555162683	False	P1
phase19b_simple_aggr_v1_regional	clinical_ad_bellenguez2022	HMGN1	ENSG00000205581	21	38342315	40349647	17880	3.579e-06	rs547764213	False	P3
phase19b_simple_aggr_v1_regional	clinical_ad_bellenguez2022	HMGN4	ENSG00000182952	6	25538366	27546933	16488	2.077e-05	rs116074330	False	P2
phase19b_simple_aggr_v1_regional	clinical_ad_bellenguez2022	HNRNPA1	ENSG00000135486	12	53280193	55287088	13993	9.992e-06	rs148927433	False	P3
phase19b_simple_aggr_v1_regional	clinical_ad_bellenguez2022	HNRNPA2B1	ENSG00000122566	7	25171151	27201529	16094	0.0002473	rs529550054	False	P2
phase19b_simple_aggr_v1_regional	clinical_ad_bellenguez2022	HNRNPAB	ENSG00000197451	5	177204533	179211163	15236	5.9e-06	rs337388	False	P3
phase19b_simple_aggr_v1_regional	clinical_ad_bellenguez2022	HOOK2	ENSG00000095066	19	11763003	13872740	15290	7.663e-06	rs142927801	False	P3
phase19b_simple_aggr_v1_regional	clinical_ad_bellenguez2022	HP1BP3	ENSG00000127483	1	19740266	21787323	15708	3.092e-06	rs114565995	False	P3
phase19b_simple_aggr_v1_regional	clinical_ad_bellenguez2022	HS1BP3	ENSG00000118960	2	19560448	21651130	16166	9.925e-05	rs72779351	False	P3
phase19b_simple_aggr_v1_regional	clinical_ad_bellenguez2022	HSP90AB1	ENSG00000096384	6	43246166	45253888	14993	5.867e-06	rs560565728	False	P3
phase19b_simple_aggr_v1_regional	clinical_ad_bellenguez2022	HSPA13	ENSG00000155304	21	13371115	15383484	15299	0.0005692	rs7281317	False	P3
phase19b_simple_aggr_v1_regional	clinical_ad_bellenguez2022	HSPA1A	ENSG00000204389	6	30815543	32817946	27495	1.049e-17	rs6605556	True	P1
phase19b_simple_aggr_v1_regional	clinical_ad_bellenguez2022	HSPA8	ENSG00000109971	11	122057489	124063230	15836	3.792e-06	rs10750219	False	P3
phase19b_simple_aggr_v1_regional	clinical_ad_bellenguez2022	HSPH1	ENSG00000120694	13	30134973	32162388	15467	5.598e-05	rs556062277	False	P2
phase19b_simple_aggr_v1_regional	clinical_ad_bellenguez2022	ID2	ENSG00000115738	2	7678845	9684461	14370	7.034e-08	rs10169262	False	P2
phase19b_simple_aggr_v1_regional	clinical_ad_bellenguez2022	IGIP	ENSG00000182700	5	139125937	141129392	11352	8.158e-06	rs56125987	False	P3
phase19b_simple_aggr_v1_regional	clinical_ad_bellenguez2022	INTS8	ENSG00000164941	8	93813311	95881746	15321	1.819e-09	rs34636042	True	P2
phase19b_simple_aggr_v1_regional	clinical_ad_bellenguez2022	IRAK1BP1	ENSG00000146243	6	77867551	79946440	17343	3.187e-06	rs236852	False	P3
phase19b_simple_aggr_v1_regional	clinical_ad_bellenguez2022	IRAK2	ENSG00000134070	3	9164919	11243745	16105	7.238e-05	rs182060897	False	P3
phase19b_simple_aggr_v1_regional	clinical_ad_bellenguez2022	ITM2B	ENSG00000136156	13	47232612	49270357	16383	8.694e-07	rs112193159	False	P2
phase19b_simple_aggr_v1_regional	clinical_ad_bellenguez2022	KAT5	ENSG00000172977	11	64711996	66719604	12888	1.468e-05	rs77779142	False	P3
phase19b_simple_aggr_v1_regional	clinical_ad_bellenguez2022	KAT7	ENSG00000136504	17	48788624	50835026	14513	5.379e-13	rs616338	True	P3
phase19b_simple_aggr_v1_regional	clinical_ad_bellenguez2022	KATNBL1	ENSG00000134152	15	33140674	35210096	16308	2.008e-05	rs17236385	False	P3
phase19b_simple_aggr_v1_regional	clinical_ad_bellenguez2022	KCNA2	ENSG00000177301	1	109519837	111631474	15631	1.559e-05	rs78706758	False	P3
phase19b_simple_aggr_v1_regional	clinical_ad_bellenguez2022	KCNMB2-AS1	ENSG00000237978	3	177526505	179937352	17289	0.000278	rs567998031	False	P2
phase19b_simple_aggr_v1_regional	clinical_ad_bellenguez2022	KIF2A	ENSG00000068796	5	61306162	63391025	15445	2.057e-05	rs185981249	False	P3
phase19b_simple_aggr_v1_regional	clinical_ad_bellenguez2022	KLHL22	ENSG00000099910	22	19441519	21495844	14356	0.000122	rs148787683	False	P3
phase19b_simple_aggr_v1_regional	clinical_ad_bellenguez2022	KTN1	ENSG00000126777	14	54559072	56701526	17518	1.032e-05	rs191986031	False	P3
phase19b_simple_aggr_v1_regional	clinical_ad_bellenguez2022	LAGE3	ENSG00000196976	X	153477775	155479281	0	NA		False	P2
phase19b_simple_aggr_v1_regional	clinical_ad_bellenguez2022	LAMTOR1	ENSG00000149357	11	71085895	73103297	15589	4.306e-05	rs35404771	False	P3
phase19b_simple_aggr_v1_regional	clinical_ad_bellenguez2022	LAMTOR5	ENSG00000134248	1	109401249	111407942	14712	6.605e-05	rs79406748	False	P2
phase19b_simple_aggr_v1_regional	clinical_ad_bellenguez2022	LAPTM4A	ENSG00000068697	2	19032650	21051628	16045	5.651e-06	rs10171699	False	P2
phase19b_simple_aggr_v1_regional	clinical_ad_bellenguez2022	LIFR-AS1	ENSG00000244968	5	37556765	39671216	16840	0.0001017	rs141856135	False	P1
phase19b_simple_aggr_v1_regional	clinical_ad_bellenguez2022	LIMK2	ENSG00000182541	22	30212239	32280080	17304	1.959e-05	rs8142121	False	P2
