schema_version	route_id	gene	trait_id	qtl_source_id	gwas_variants	qtl_variants	common_variants	overlap_fraction_smaller_input	status	reason
phase19_endophenotype_gwas_qtl_extension_v1	APOE__csf_ptau181__EQTL_Catalogue_r7__sQTL__Astrocytes	APOE	csf_ptau181	EQTL_Catalogue_r7	NA	NA	NA	NA	not_assessable	target_gene_splicing_event_absent_from_conditionally_detected_release_and_measurement_status_unresolved
phase19_endophenotype_gwas_qtl_extension_v1	APOE__csf_ptau181__NG00130.v2__pQTL__CSF	APOE	csf_ptau181	NG00130.v2	5257	4963	4236	0.8535160185371751	model_or_ld_incompatible	single_signal_sensitivity_completed_but_primary_multisignal_route_lacks_released_QTL_model_or_QTL_ancestry_matched_LD
phase19_endophenotype_gwas_qtl_extension_v1	APOE__csf_ptau181__NG00184.v1__eQTL__Astrocytes	APOE	csf_ptau181	NG00184.v1	NA	NA	NA	NA	no_regional_qtl_signal	NG00184_APOE_measured_in_Knight-ADRC,MSBB,ROSMAP_with_finemap_rows=44_but_hmt_significant_rows=0_and_all_released_APOE_rows_are_is_hmt_signif_false
phase19_endophenotype_gwas_qtl_extension_v1	APOE__csf_ptau181__NG00184.v1__pQTL__brain_regions	APOE	csf_ptau181	NG00184.v1	NA	NA	NA	NA	no_regional_qtl_signal	NG00184_APOE_measured_in_MSBB,ROSMAP_with_finemap_rows=22_but_hmt_significant_rows=0_and_all_released_APOE_rows_are_is_hmt_signif_false
phase19_endophenotype_gwas_qtl_extension_v1	APOE__csf_ptau181__NG00184.v1__sQTL__Astrocytes	APOE	csf_ptau181	NG00184.v1	NA	NA	NA	NA	model_or_ld_incompatible	NG00184_APOE_signal_present_hmt_rows=189_finemap_rows=245;released_finemapping_contains_PIP_and_credible_set_membership_but_not_a_complete_multisignal_model_or_ancestry_matched_LD_required_for_primary_colocalization
phase19_endophenotype_gwas_qtl_extension_v1	APOE__csf_ptau181__NG00184.v1__snuc-eQTL__Astrocytes	APOE	csf_ptau181	NG00184.v1	NA	NA	NA	NA	no_regional_qtl_signal	NG00184_APOE_measured_in_ROSMAP_CUIMC1_2_MIT,ROSMAP_MIT_with_finemap_rows=8_but_hmt_significant_rows=0_and_all_released_APOE_rows_are_is_hmt_signif_false
phase19_endophenotype_gwas_qtl_extension_v1	APOE__csf_ptau181__PsychAD_snRNA_eQTL__eQTL__Astrocytes	APOE	csf_ptau181	PsychAD_snRNA_eQTL	NA	NA	NA	NA	not_assessable	full_candidate_statistics_not_publicly_downloadable_and_ROSMAP_overlap_prevents_independent_validation
phase19_endophenotype_gwas_qtl_extension_v1	APOE__csf_ptau181__scMetaBrain_2026__eQTL__Astrocytes	APOE	csf_ptau181	scMetaBrain_2026	NA	NA	NA	NA	not_assessable	candidate_level_complete_statistics_and_compatible_released_model_not_available_in_public_local_inventory
phase19_endophenotype_gwas_qtl_extension_v1	APOE__csf_total_tau__EQTL_Catalogue_r7__eQTL__Astrocytes	APOE	csf_total_tau	EQTL_Catalogue_r7	5219	11199	4310	0.8258287028166316	model_or_ld_incompatible	single_signal_sensitivity_completed_but_primary_multisignal_route_lacks_released_QTL_model_or_QTL_ancestry_matched_LD
phase19_endophenotype_gwas_qtl_extension_v1	APOE__csf_total_tau__EQTL_Catalogue_r7__sQTL__Astrocytes	APOE	csf_total_tau	EQTL_Catalogue_r7	NA	NA	NA	NA	not_assessable	target_gene_splicing_event_absent_from_conditionally_detected_release_and_measurement_status_unresolved
phase19_endophenotype_gwas_qtl_extension_v1	APOE__csf_total_tau__NG00130.v2__pQTL__CSF	APOE	csf_total_tau	NG00130.v2	5219	4963	4216	0.849486197864195	model_or_ld_incompatible	single_signal_sensitivity_completed_but_primary_multisignal_route_lacks_released_QTL_model_or_QTL_ancestry_matched_LD
phase19_endophenotype_gwas_qtl_extension_v1	APOE__csf_total_tau__NG00184.v1__eQTL__Astrocytes	APOE	csf_total_tau	NG00184.v1	NA	NA	NA	NA	no_regional_qtl_signal	NG00184_APOE_measured_in_Knight-ADRC,MSBB,ROSMAP_with_finemap_rows=44_but_hmt_significant_rows=0_and_all_released_APOE_rows_are_is_hmt_signif_false
phase19_endophenotype_gwas_qtl_extension_v1	APOE__csf_total_tau__NG00184.v1__pQTL__brain_regions	APOE	csf_total_tau	NG00184.v1	NA	NA	NA	NA	no_regional_qtl_signal	NG00184_APOE_measured_in_MSBB,ROSMAP_with_finemap_rows=22_but_hmt_significant_rows=0_and_all_released_APOE_rows_are_is_hmt_signif_false
phase19_endophenotype_gwas_qtl_extension_v1	APOE__csf_total_tau__NG00184.v1__sQTL__Astrocytes	APOE	csf_total_tau	NG00184.v1	NA	NA	NA	NA	model_or_ld_incompatible	NG00184_APOE_signal_present_hmt_rows=189_finemap_rows=245;released_finemapping_contains_PIP_and_credible_set_membership_but_not_a_complete_multisignal_model_or_ancestry_matched_LD_required_for_primary_colocalization
phase19_endophenotype_gwas_qtl_extension_v1	APOE__csf_total_tau__NG00184.v1__snuc-eQTL__Astrocytes	APOE	csf_total_tau	NG00184.v1	NA	NA	NA	NA	no_regional_qtl_signal	NG00184_APOE_measured_in_ROSMAP_CUIMC1_2_MIT,ROSMAP_MIT_with_finemap_rows=8_but_hmt_significant_rows=0_and_all_released_APOE_rows_are_is_hmt_signif_false
phase19_endophenotype_gwas_qtl_extension_v1	APOE__csf_total_tau__PsychAD_snRNA_eQTL__eQTL__Astrocytes	APOE	csf_total_tau	PsychAD_snRNA_eQTL	NA	NA	NA	NA	not_assessable	full_candidate_statistics_not_publicly_downloadable_and_ROSMAP_overlap_prevents_independent_validation
phase19_endophenotype_gwas_qtl_extension_v1	APOE__csf_total_tau__scMetaBrain_2026__eQTL__Astrocytes	APOE	csf_total_tau	scMetaBrain_2026	NA	NA	NA	NA	not_assessable	candidate_level_complete_statistics_and_compatible_released_model_not_available_in_public_local_inventory
