schema_version	candidate_id	gene	priority_tier	trait_id	source_accession	ensembl_gene_id	chromosome_candidate	start_candidate	end	chromosome_magma	start_magma	stop	n_snps	z_stat	p_value	candidate_threshold	candidate_significant	test_status	result_provenance
phase19b_sex_apoe_kda_combo_v2_magma	GS19B0035	CD81	P3	clinical_ad	GCST90027158	ENSG00000110651	11	2376177	2397802	11	2397407.0	2418649.0	154.0	-0.78723	0.78443	5.482456140350877e-05	False	tested	fresh_magma_v1.10_phase19b
phase19b_sex_apoe_kda_combo_v2_magma	GS19B0036	CEBPD	P2	clinical_ad	GCST90027158	ENSG00000221869	8	47736913	47738164	8	48649471.0	48651648.0	7.0	1.4736	0.070295	5.482456140350877e-05	False	tested	fresh_magma_v1.10_phase19b
phase19b_sex_apoe_kda_combo_v2_magma	GS19B0037	CEP57	P3	clinical_ad	GCST90027158	ENSG00000166037	11	95789965	95832693	11	95523129.0	95565857.0	241.0	0.43987	0.33002	5.482456140350877e-05	False	tested	fresh_magma_v1.10_phase19b
phase19b_sex_apoe_kda_combo_v2_magma	GS19B0038	CFL1	P3	clinical_ad	GCST90027158	ENSG00000172757	11	65823022	65862026	11	65590493.0	65629497.0	143.0	2.6334	0.0042273	5.482456140350877e-05	False	tested	fresh_magma_v1.10_phase19b
phase19b_sex_apoe_kda_combo_v2_magma	GS19B0039	CHGA	P3	clinical_ad	GCST90027158	ENSG00000100604	14	92923150	92935285	14	93389425.0	93401638.0	70.0	1.0077	0.1568	5.482456140350877e-05	False	tested	fresh_magma_v1.10_phase19b
phase19b_sex_apoe_kda_combo_v2_magma	GS19B0040	CHID1	P3	clinical_ad	GCST90027158	ENSG00000177830	11	867859	915058	11	867357.0	915058.0	230.0	0.10418	0.45851	5.482456140350877e-05	False	tested	fresh_magma_v1.10_phase19b
phase19b_sex_apoe_kda_combo_v2_magma	GS19B0041	CHORDC1	P2	clinical_ad	GCST90027158	ENSG00000110172	11	90200429	90223077	11	89934328.0	89956532.0	95.0	-0.79408	0.78643	5.482456140350877e-05	False	tested	fresh_magma_v1.10_phase19b
phase19b_sex_apoe_kda_combo_v2_magma	GS19B0042	CLVS1	P3	clinical_ad	GCST90027158	ENSG00000177182	8	61057158	61501645	8	61969717.0	62414204.0	2369.0	2.0287	0.021243	5.482456140350877e-05	False	tested	fresh_magma_v1.10_phase19b
phase19b_sex_apoe_kda_combo_v2_magma	GS19B0043	CORO6	P3	clinical_ad	GCST90027158	ENSG00000167549	17	29614756	29622912	17	27941774.0	27949925.0	27.0	2.5244	0.0057946	5.482456140350877e-05	False	tested	fresh_magma_v1.10_phase19b
phase19b_sex_apoe_kda_combo_v2_magma	GS19B0044	CRYL1	P3	clinical_ad	GCST90027158	ENSG00000165475	13	20403666	20525873	13	20977806.0	21099996.0	834.0	0.78464	0.21633	5.482456140350877e-05	False	tested	fresh_magma_v1.10_phase19b
phase19b_sex_apoe_kda_combo_v2_magma	GS19B0045	CTNND2	P3	clinical_ad	GCST90027158	ENSG00000169862	5	10971836	11904446	5	10971952.0	11904155.0	4957.0	1.8333	0.033378	5.482456140350877e-05	False	tested	fresh_magma_v1.10_phase19b
phase19b_sex_apoe_kda_combo_v2_magma	GS19B0046	CUTA	P2	clinical_ad	GCST90027158	ENSG00000112514	6	33416442	33418317	6	33384219.0	33386094.0	5.0	1.197	0.11566	5.482456140350877e-05	False	tested	fresh_magma_v1.10_phase19b
phase19b_sex_apoe_kda_combo_v2_magma	GS19B0047	DEF8	P2	clinical_ad	GCST90027158	ENSG00000140995	16	89948697	89968060	16	90014333.0	90034468.0	153.0	1.3756	0.084478	5.482456140350877e-05	False	tested	fresh_magma_v1.10_phase19b
phase19b_sex_apoe_kda_combo_v2_magma	GS19B0048	DNAJB1	P3	clinical_ad	GCST90027158	ENSG00000132002	19	14514769	14560391	19	14625582.0	14640582.0	69.0	0.33502	0.36881	5.482456140350877e-05	False	tested	fresh_magma_v1.10_phase19b
phase19b_sex_apoe_kda_combo_v2_magma	GS19B0049	DNMT3A	P3	clinical_ad	GCST90027158	ENSG00000119772	2	25227855	25342590	2	25455845.0	25565459.0	427.0	0.75759	0.22435	5.482456140350877e-05	False	tested	fresh_magma_v1.10_phase19b
phase19b_sex_apoe_kda_combo_v2_magma	GS19B0050	DUBR	P3	clinical_ad	GCST90027158	ENSG00000243701	3	107220744	107348464	NA	NA	NA	NA	NA	NA	5.482456140350877e-05	False	not_assessable_no_fuma_v110_reference_gene_model	NA
phase19b_sex_apoe_kda_combo_v2_magma	GS19B0051	DYNLL1	P2	clinical_ad	GCST90027158	ENSG00000088986	12	120469850	120498493	12	120907653.0	120936296.0	150.0	0.51205	0.30431	5.482456140350877e-05	False	tested	fresh_magma_v1.10_phase19b
phase19b_sex_apoe_kda_combo_v2_magma	GS19B0052	DYNLT1	P2	clinical_ad	GCST90027158	ENSG00000146425	6	158636474	158644743	6	159057506.0	159065771.0	36.0	-0.26775	0.60555	5.482456140350877e-05	False	tested	fresh_magma_v1.10_phase19b
phase19b_sex_apoe_kda_combo_v2_magma	GS19B0053	DZIP1	P3	clinical_ad	GCST90027158	ENSG00000134874	13	95578202	95644706	13	96230457.0	96296957.0	257.0	-1.643	0.94981	5.482456140350877e-05	False	tested	fresh_magma_v1.10_phase19b
phase19b_sex_apoe_kda_combo_v2_magma	GS19B0054	EDF1	P2	clinical_ad	GCST90027158	ENSG00000107223	9	136862119	136866308	9	139756571.0	139760738.0	12.0	0.62913	0.26463	5.482456140350877e-05	False	tested	fresh_magma_v1.10_phase19b
phase19b_sex_apoe_kda_combo_v2_magma	GS19B0055	EIF1	P2	clinical_ad	GCST90027158	ENSG00000173812	17	41688885	41692668	17	39845137.0	39848920.0	10.0	0.22192	0.41219	5.482456140350877e-05	False	tested	fresh_magma_v1.10_phase19b
phase19b_sex_apoe_kda_combo_v2_magma	GS19B0056	EIF1B	P3	clinical_ad	GCST90027158	ENSG00000114784	3	40309707	40312424	3	40351175.0	40353915.0	22.0	-0.32973	0.6292	5.482456140350877e-05	False	tested	fresh_magma_v1.10_phase19b
phase19b_sex_apoe_kda_combo_v2_magma	GS19B0057	EIF3K	P3	clinical_ad	GCST90027158	ENSG00000178982	19	38619082	38636955	19	39109735.0	39127595.0	62.0	0.71855	0.23621	5.482456140350877e-05	False	tested	fresh_magma_v1.10_phase19b
phase19b_sex_apoe_kda_combo_v2_magma	GS19B0058	EIF4A2	P2	clinical_ad	GCST90027158	ENSG00000156976	3	186783205	186789897	3	186500994.0	186507689.0	43.0	0.34051	0.36674	5.482456140350877e-05	False	tested	fresh_magma_v1.10_phase19b
phase19b_sex_apoe_kda_combo_v2_magma	GS19B0059	ELOB	P3	clinical_ad	GCST90027158	ENSG00000103363	16	2771414	2777289	16	2821415.0	2827298.0	35.0	-0.85701	0.80428	5.482456140350877e-05	False	tested	fresh_magma_v1.10_phase19b
phase19b_sex_apoe_kda_combo_v2_magma	GS19B0060	EPHA7	P3	clinical_ad	GCST90027158	ENSG00000135333	6	93240020	93419687	6	93949738.0	94129265.0	795.0	0.13673	0.44562	5.482456140350877e-05	False	tested	fresh_magma_v1.10_phase19b
phase19b_sex_apoe_kda_combo_v2_magma	GS19B0061	ERBIN	P3	clinical_ad	GCST90027158	ENSG00000112851	5	65883128	66082546	5	65222303.0	65378377.0	447.0	1.2207	0.11109	5.482456140350877e-05	False	tested	fresh_magma_v1.10_phase19b
phase19b_sex_apoe_kda_combo_v2_magma	GS19B0062	ERP29	P3	clinical_ad	GCST90027158	ENSG00000089248	12	112013348	112023449	12	112451120.0	112461255.0	31.0	-0.53034	0.70206	5.482456140350877e-05	False	tested	fresh_magma_v1.10_phase19b
phase19b_sex_apoe_kda_combo_v2_magma	GS19B0063	EVA1C	P2	clinical_ad	GCST90027158	ENSG00000166979	21	32412006	32515397	21	33784314.0	33887707.0	574.0	-0.97643	0.83557	5.482456140350877e-05	False	tested	fresh_magma_v1.10_phase19b
phase19b_sex_apoe_kda_combo_v2_magma	GS19B0064	EXOC7	P3	clinical_ad	GCST90027158	ENSG00000182473	17	76081016	76121576	17	74077087.0	74117657.0	212.0	-1.2404	0.89258	5.482456140350877e-05	False	tested	fresh_magma_v1.10_phase19b
phase19b_sex_apoe_kda_combo_v2_magma	GS19B0065	FAU	P2	clinical_ad	GCST90027158	ENSG00000149806	11	65120630	65122177	11	64888100.0	64889945.0	10.0	-0.17164	0.56814	5.482456140350877e-05	False	tested	fresh_magma_v1.10_phase19b
phase19b_sex_apoe_kda_combo_v2_magma	GS19B0066	FBF1	P3	clinical_ad	GCST90027158	ENSG00000188878	17	75909574	75941140	17	73905655.0	73937221.0	155.0	0.21084	0.41651	5.482456140350877e-05	False	tested	fresh_magma_v1.10_phase19b
phase19b_sex_apoe_kda_combo_v2_magma	GS19B0067	FBXW4	P3	clinical_ad	GCST90027158	ENSG00000107829	10	101610664	101695295	10	103370423.0	103455052.0	269.0	1.3325	0.091345	5.482456140350877e-05	False	tested	fresh_magma_v1.10_phase19b
phase19b_sex_apoe_kda_combo_v2_magma	GS19B0068	FGFR2	P3	clinical_ad	GCST90027158	ENSG00000066468	10	121478332	121598458	10	123237848.0	123357972.0	564.0	-0.25923	0.60227	5.482456140350877e-05	False	tested	fresh_magma_v1.10_phase19b
phase19b_sex_apoe_kda_combo_v2_magma	GS19B0069	FN3K	P3	clinical_ad	GCST90027158	ENSG00000167363	17	82735615	82751196	17	80693451.0	80709073.0	98.0	0.31873	0.37497	5.482456140350877e-05	False	tested	fresh_magma_v1.10_phase19b
phase19b_sex_apoe_kda_combo_v2_magma	GS19B0070	FNDC3B	P3	clinical_ad	GCST90027158	ENSG00000075420	3	172039578	172401669	3	171757418.0	172119455.0	1702.0	-0.72736	0.7665	5.482456140350877e-05	False	tested	fresh_magma_v1.10_phase19b
phase19b_sex_apoe_kda_combo_v2_magma	GS19B0071	FTL	P2	clinical_ad	GCST90027158	ENSG00000087086	19	48965309	48966879	19	49468558.0	49470135.0	8.0	2.3278	0.0099604	5.482456140350877e-05	False	tested	fresh_magma_v1.10_phase19b
phase19b_sex_apoe_kda_combo_v2_magma	GS19B0072	GABARAPL2	P2	clinical_ad	GCST90027158	ENSG00000034713	16	75566375	75577881	16	75600249.0	75611779.0	47.0	0.88359	0.18846	5.482456140350877e-05	False	tested	fresh_magma_v1.10_phase19b
phase19b_sex_apoe_kda_combo_v2_magma	GS19B0073	GABPB2	P3	clinical_ad	GCST90027158	ENSG00000143458	1	151070578	151125542	1	151043054.0	151098018.0	241.0	1.4793	0.069533	5.482456140350877e-05	False	tested	fresh_magma_v1.10_phase19b
phase19b_sex_apoe_kda_combo_v2_magma	GS19B0074	GABRA1	P3	clinical_ad	GCST90027158	ENSG00000022355	5	161847063	161899981	5	161274197.0	161326975.0	265.0	1.4862	0.068616	5.482456140350877e-05	False	tested	fresh_magma_v1.10_phase19b
phase19b_sex_apoe_kda_combo_v2_magma	GS19B0075	GALNT2	P2	clinical_ad	GCST90027158	ENSG00000143641	1	230057990	230282122	1	230193536.0	230417870.0	1381.0	0.49173	0.31145	5.482456140350877e-05	False	tested	fresh_magma_v1.10_phase19b
phase19b_sex_apoe_kda_combo_v2_magma	GS19B0076	GAPDH	P2	clinical_ad	GCST90027158	ENSG00000111640	12	6534512	6538374	12	6643093.0	6647537.0	33.0	1.0553	0.14565	5.482456140350877e-05	False	tested	fresh_magma_v1.10_phase19b
phase19b_sex_apoe_kda_combo_v2_magma	GS19B0077	GATAD1	P2	clinical_ad	GCST90027158	ENSG00000157259	7	92447482	92460075	7	92076767.0	92088150.0	31.0	-0.80428	0.78938	5.482456140350877e-05	False	tested	fresh_magma_v1.10_phase19b
phase19b_sex_apoe_kda_combo_v2_magma	GS19B0078	GCLM	P3	clinical_ad	GCST90027158	ENSG00000023909	1	93885199	93909456	1	94350761.0	94374966.0	107.0	0.43817	0.33063	5.482456140350877e-05	False	tested	fresh_magma_v1.10_phase19b
phase19b_sex_apoe_kda_combo_v2_magma	GS19B0079	GGH	P3	clinical_ad	GCST90027158	ENSG00000137563	8	63014881	63039407	8	63927638.0	63951730.0	133.0	1.2061	0.11388	5.482456140350877e-05	False	tested	fresh_magma_v1.10_phase19b
phase19b_sex_apoe_kda_combo_v2_magma	GS19B0080	GNG3	P2	clinical_ad	GCST90027158	ENSG00000162188	11	62707676	62709201	11	62475130.0	62476673.0	6.0	-1.5146	0.93506	5.482456140350877e-05	False	tested	fresh_magma_v1.10_phase19b
phase19b_sex_apoe_kda_combo_v2_magma	GS19B0081	GREB1	P3	clinical_ad	GCST90027158	ENSG00000196208	2	11482341	11642788	2	11674242.0	11782914.0	629.0	1.9243	0.02716	5.482456140350877e-05	False	tested	fresh_magma_v1.10_phase19b
phase19b_sex_apoe_kda_combo_v2_magma	GS19B0082	GRINA	P2	clinical_ad	GCST90027158	ENSG00000178719	8	143990056	143993415	8	145064226.0	145067583.0	7.0	2.5202	0.0058647	5.482456140350877e-05	False	tested	fresh_magma_v1.10_phase19b
phase19b_sex_apoe_kda_combo_v2_magma	GS19B0083	GSTP1	P2	clinical_ad	GCST90027158	ENSG00000084207	11	67583742	67586656	11	67351066.0	67354131.0	22.0	0.31765	0.37537	5.482456140350877e-05	False	tested	fresh_magma_v1.10_phase19b
phase19b_sex_apoe_kda_combo_v2_magma	GS19B0084	GTF2A1	P3	clinical_ad	GCST90027158	ENSG00000165417	14	81175452	81221377	14	81641796.0	81687721.0	166.0	0.83384	0.20219	5.482456140350877e-05	False	tested	fresh_magma_v1.10_phase19b
phase19b_sex_apoe_kda_combo_v2_magma	GS19B0085	HOOK2	P3	clinical_ad	GCST90027158	ENSG00000095066	19	12763003	12872740	19	12873817.0	12983554.0	450.0	0.94722	0.17176	5.482456140350877e-05	False	tested	fresh_magma_v1.10_phase19b
phase19b_sex_apoe_kda_combo_v2_magma	GS19B0086	HSP90AB1	P2	clinical_ad	GCST90027158	ENSG00000096384	6	44246166	44253888	6	44214824.0	44221620.0	42.0	1.0306	0.15137	5.482456140350877e-05	False	tested	fresh_magma_v1.10_phase19b
phase19b_sex_apoe_kda_combo_v2_magma	GS19B0087	HSPA13	P3	clinical_ad	GCST90027158	ENSG00000155304	21	14371115	14383484	21	15743436.0	15755805.0	67.0	0.21062	0.41659	5.482456140350877e-05	False	tested	fresh_magma_v1.10_phase19b
phase19b_sex_apoe_kda_combo_v2_magma	GS19B0088	HSPA1A	P2	clinical_ad	GCST90027158	ENSG00000204389	6	31815543	31817946	6	31783291.0	31785723.0	4.0	0.78373	0.2166	5.482456140350877e-05	False	tested	fresh_magma_v1.10_phase19b
phase19b_sex_apoe_kda_combo_v2_magma	GS19B0089	HSPH1	P2	clinical_ad	GCST90027158	ENSG00000120694	13	31134973	31162388	13	31710762.0	31736525.0	106.0	-0.62197	0.73302	5.482456140350877e-05	False	tested	fresh_magma_v1.10_phase19b
phase19b_sex_apoe_kda_combo_v2_magma	GS19B0090	ID2	P2	clinical_ad	GCST90027158	ENSG00000115738	2	8678845	8684461	2	8818975.0	8824583.0	26.0	0.09119	0.46367	5.482456140350877e-05	False	tested	fresh_magma_v1.10_phase19b
phase19b_sex_apoe_kda_combo_v2_magma	GS19B0091	IGF1R	P3	clinical_ad	GCST90027158	ENSG00000140443	15	98648539	98964530	15	99192200.0	99507759.0	1661.0	-0.71885	0.76388	5.482456140350877e-05	False	tested	fresh_magma_v1.10_phase19b
phase19b_sex_apoe_kda_combo_v2_magma	GS19B0092	IKZF4	P3	clinical_ad	GCST90027158	ENSG00000123411	12	56007659	56038435	12	56401443.0	56432219.0	75.0	1.9585	0.025083	5.482456140350877e-05	False	tested	fresh_magma_v1.10_phase19b
phase19b_sex_apoe_kda_combo_v2_magma	GS19B0093	INTS8	P2	clinical_ad	GCST90027158	ENSG00000164941	8	94813311	94881746	8	95825539.0	95893974.0	344.0	3.9116	4.5842e-05	5.482456140350877e-05	True	tested	fresh_magma_v1.10_phase19b
phase19b_sex_apoe_kda_combo_v2_magma	GS19B0094	IRAK1BP1	P3	clinical_ad	GCST90027158	ENSG00000146243	6	78867551	78946440	6	79577189.0	79656157.0	291.0	1.6456	0.049925	5.482456140350877e-05	False	tested	fresh_magma_v1.10_phase19b
phase19b_sex_apoe_kda_combo_v2_magma	GS19B0095	IRAK2	P3	clinical_ad	GCST90027158	ENSG00000134070	3	10164919	10243745	3	10206549.0	10285427.0	416.0	-0.59675	0.72466	5.482456140350877e-05	False	tested	fresh_magma_v1.10_phase19b
phase19b_sex_apoe_kda_combo_v2_magma	GS19B0096	JAKMIP3	P3	clinical_ad	GCST90027158	ENSG00000188385	10	132036336	132184858	10	133918175.0	133998313.0	554.0	0.84909	0.19791	5.482456140350877e-05	False	tested	fresh_magma_v1.10_phase19b
phase19b_sex_apoe_kda_combo_v2_magma	GS19B0097	KATNBL1	P3	clinical_ad	GCST90027158	ENSG00000134152	15	34140674	34210096	15	34432875.0	34502297.0	408.0	-0.032235	0.51286	5.482456140350877e-05	False	tested	fresh_magma_v1.10_phase19b
phase19b_sex_apoe_kda_combo_v2_magma	GS19B0098	KTN1	P2	clinical_ad	GCST90027158	ENSG00000126777	14	55559072	55701526	14	56025790.0	56168244.0	835.0	1.6726	0.047205	5.482456140350877e-05	False	tested	fresh_magma_v1.10_phase19b
phase19b_sex_apoe_kda_combo_v2_magma	GS19B0099	LAGE3	P1	clinical_ad	GCST90027158	ENSG00000196976	X	154477775	154479281	NA	NA	NA	NA	NA	NA	5.482456140350877e-05	False	not_assessable_no_fuma_v110_reference_gene_model	NA
phase19b_sex_apoe_kda_combo_v2_magma	GS19B0100	LAMTOR5	P2	clinical_ad	GCST90027158	ENSG00000134248	1	110401249	110407942	1	110943871.0	110950564.0	23.0	-1.6723	0.95276	5.482456140350877e-05	False	tested	fresh_magma_v1.10_phase19b
phase19b_sex_apoe_kda_combo_v2_magma	GS19B0101	LAPTM4A	P2	clinical_ad	GCST90027158	ENSG00000068697	2	20032650	20051628	2	20232411.0	20251789.0	85.0	1.981	0.023798	5.482456140350877e-05	False	tested	fresh_magma_v1.10_phase19b
phase19b_sex_apoe_kda_combo_v2_magma	GS19B0102	LRP1B	P3	clinical_ad	GCST90027158	ENSG00000168702	2	140231423	142131016	2	140988992.0	142889270.0	11880.0	0.066106	0.47365	5.482456140350877e-05	False	tested	fresh_magma_v1.10_phase19b
