route_id	schema_version	candidate_id	gene	ensembl_gene_id	broad_network	case_id	case_label	qtl_type	chromosome	window_start	window_end	genome_build
T2R012	human_genetic_support_tier2_coloc_v1	GS006	COX6B1	ENSG00000126267	Excitatory_neurons	mt_driver	MT driver	sQTL	19	34648323	36658782	GRCh38
T2R013	human_genetic_support_tier2_coloc_v1	GS007	COX7C	ENSG00000127184	Astrocytes	mt_driver	MT driver	eQTL	5	85617928	87620962	GRCh38
T2R014	human_genetic_support_tier2_coloc_v1	GS007	COX7C	ENSG00000127184	Astrocytes	mt_driver	MT driver	sQTL	5	85617928	87620962	GRCh38
T2R015	human_genetic_support_tier2_coloc_v1	GS008	COX7C	ENSG00000127184	Inhibitory_neurons	mt_driver	MT driver	eQTL	5	85617928	87620962	GRCh38
T2R016	human_genetic_support_tier2_coloc_v1	GS008	COX7C	ENSG00000127184	Inhibitory_neurons	mt_driver	MT driver	sQTL	5	85617928	87620962	GRCh38
T2R017	human_genetic_support_tier2_coloc_v1	GS009	DYNLT1	ENSG00000146425	Excitatory_neurons	non_mt_driver	non-MT driver	eQTL	6	157636474	159644743	GRCh38
T2R018	human_genetic_support_tier2_coloc_v1	GS009	DYNLT1	ENSG00000146425	Excitatory_neurons	non_mt_driver	non-MT driver	sQTL	6	157636474	159644743	GRCh38
T2R019	human_genetic_support_tier2_coloc_v1	GS010	FTL	ENSG00000087086	OPCs	non_mt_driver	non-MT driver	eQTL	19	47965309	49966879	GRCh38
T2R020	human_genetic_support_tier2_coloc_v1	GS010	FTL	ENSG00000087086	OPCs	non_mt_driver	non-MT driver	sQTL	19	47965309	49966879	GRCh38
T2R021	human_genetic_support_tier2_coloc_v1	GS011	LAMTOR5	ENSG00000134248	Excitatory_neurons	non_mt_driver	non-MT driver	eQTL	1	109401249	111407942	GRCh38
T2R022	human_genetic_support_tier2_coloc_v1	GS011	LAMTOR5	ENSG00000134248	Excitatory_neurons	non_mt_driver	non-MT driver	sQTL	1	109401249	111407942	GRCh38
T2R023	human_genetic_support_tier2_coloc_v1	GS012	LAMTOR5	ENSG00000134248	Inhibitory_neurons	non_mt_driver	non-MT driver	eQTL	1	109401249	111407942	GRCh38
T2R024	human_genetic_support_tier2_coloc_v1	GS012	LAMTOR5	ENSG00000134248	Inhibitory_neurons	non_mt_driver	non-MT driver	sQTL	1	109401249	111407942	GRCh38
T2R025	human_genetic_support_tier2_coloc_v1	GS013	LAPTM4A	ENSG00000068697	Astrocytes	non_mt_driver	non-MT driver	eQTL	2	19032650	21051628	GRCh38
T2R026	human_genetic_support_tier2_coloc_v1	GS013	LAPTM4A	ENSG00000068697	Astrocytes	non_mt_driver	non-MT driver	sQTL	2	19032650	21051628	GRCh38
T2R027	human_genetic_support_tier2_coloc_v1	GS034	NCOA1	ENSG00000084676	OPCs	non_mt_driver	non-MT driver	eQTL	2	23491254	25770702	GRCh38
T2R028	human_genetic_support_tier2_coloc_v1	GS034	NCOA1	ENSG00000084676	OPCs	non_mt_driver	non-MT driver	sQTL	2	23491254	25770702	GRCh38
T2R029	human_genetic_support_tier2_coloc_v1	GS035	RPL11	ENSG00000142676	Astrocytes	non_mt_driver	non-MT driver	eQTL	1	22691742	24696835	GRCh38
T2R030	human_genetic_support_tier2_coloc_v1	GS035	RPL11	ENSG00000142676	Astrocytes	non_mt_driver	non-MT driver	sQTL	1	22691742	24696835	GRCh38
T2R031	human_genetic_support_tier2_coloc_v1	GS036	RPL11	ENSG00000142676	Excitatory_neurons	non_mt_driver	non-MT driver	eQTL	1	22691742	24696835	GRCh38
T2R032	human_genetic_support_tier2_coloc_v1	GS036	RPL11	ENSG00000142676	Excitatory_neurons	non_mt_driver	non-MT driver	sQTL	1	22691742	24696835	GRCh38
T2R033	human_genetic_support_tier2_coloc_v1	GS037	RPL11	ENSG00000142676	Microglia	non_mt_driver	non-MT driver	eQTL	1	22691742	24696835	GRCh38
T2R034	human_genetic_support_tier2_coloc_v1	GS037	RPL11	ENSG00000142676	Microglia	non_mt_driver	non-MT driver	sQTL	1	22691742	24696835	GRCh38
T2R035	human_genetic_support_tier2_coloc_v1	GS038	RPL11	ENSG00000142676	Oligodendrocytes	non_mt_driver	non-MT driver	eQTL	1	22691742	24696835	GRCh38
T2R036	human_genetic_support_tier2_coloc_v1	GS038	RPL11	ENSG00000142676	Oligodendrocytes	non_mt_driver	non-MT driver	sQTL	1	22691742	24696835	GRCh38
T2R037	human_genetic_support_tier2_coloc_v1	GS039	RPL15	ENSG00000174748	Astrocytes	non_mt_driver	non-MT driver	eQTL	3	22916591	24924374	GRCh38
T2R038	human_genetic_support_tier2_coloc_v1	GS039	RPL15	ENSG00000174748	Astrocytes	non_mt_driver	non-MT driver	sQTL	3	22916591	24924374	GRCh38
T2R039	human_genetic_support_tier2_coloc_v1	GS040	RPL38	ENSG00000172809	Inhibitory_neurons	non_mt_driver	non-MT driver	eQTL	17	73203582	75210655	GRCh38
T2R040	human_genetic_support_tier2_coloc_v1	GS040	RPL38	ENSG00000172809	Inhibitory_neurons	non_mt_driver	non-MT driver	sQTL	17	73203582	75210655	GRCh38
T2R041	human_genetic_support_tier2_coloc_v1	GS041	RPLP1	ENSG00000137818	Astrocytes	non_mt_driver	non-MT driver	eQTL	15	68452814	70456205	GRCh38
T2R042	human_genetic_support_tier2_coloc_v1	GS041	RPLP1	ENSG00000137818	Astrocytes	non_mt_driver	non-MT driver	sQTL	15	68452814	70456205	GRCh38
T2R043	human_genetic_support_tier2_coloc_v1	GS042	RPLP1	ENSG00000137818	Inhibitory_neurons	non_mt_driver	non-MT driver	eQTL	15	68452814	70456205	GRCh38
T2R044	human_genetic_support_tier2_coloc_v1	GS042	RPLP1	ENSG00000137818	Inhibitory_neurons	non_mt_driver	non-MT driver	sQTL	15	68452814	70456205	GRCh38
T2R045	human_genetic_support_tier2_coloc_v1	GS043	RPS13	ENSG00000110700	Excitatory_neurons	non_mt_driver	non-MT driver	eQTL	11	16074388	18077715	GRCh38
T2R046	human_genetic_support_tier2_coloc_v1	GS043	RPS13	ENSG00000110700	Excitatory_neurons	non_mt_driver	non-MT driver	sQTL	11	16074388	18077715	GRCh38
T2R047	human_genetic_support_tier2_coloc_v1	GS044	RPS15	ENSG00000115268	Inhibitory_neurons	non_mt_driver	non-MT driver	eQTL	19	438358	2440495	GRCh38
T2R048	human_genetic_support_tier2_coloc_v1	GS044	RPS15	ENSG00000115268	Inhibitory_neurons	non_mt_driver	non-MT driver	sQTL	19	438358	2440495	GRCh38
T2R049	human_genetic_support_tier2_coloc_v1	GS045	RPS15	ENSG00000115268	OPCs	non_mt_driver	non-MT driver	eQTL	19	438358	2440495	GRCh38
T2R050	human_genetic_support_tier2_coloc_v1	GS045	RPS15	ENSG00000115268	OPCs	non_mt_driver	non-MT driver	sQTL	19	438358	2440495	GRCh38
T2R051	human_genetic_support_tier2_coloc_v1	GS046	SELENOW	ENSG00000178980	Excitatory_neurons	non_mt_driver	non-MT driver	eQTL	19	46778677	48784686	GRCh38
T2R052	human_genetic_support_tier2_coloc_v1	GS046	SELENOW	ENSG00000178980	Excitatory_neurons	non_mt_driver	non-MT driver	sQTL	19	46778677	48784686	GRCh38
T2R053	human_genetic_support_tier2_coloc_v1	GS047	UQCR10	ENSG00000184076	Excitatory_neurons	mt_driver	MT driver	eQTL	22	28767369	30770413	GRCh38
T2R054	human_genetic_support_tier2_coloc_v1	GS047	UQCR10	ENSG00000184076	Excitatory_neurons	mt_driver	MT driver	sQTL	22	28767369	30770413	GRCh38
